Arbeitsstätten, Beschäftigte und weitere Kennzahlen in Wien nach Wirtschaftstätigkeiten 2021;;;;;;
"Abschnitt
(ÖNACE 2008)";Arbeitsstätten;Beschäftigte (1);Bruttolöhne und -gehälter;"Bruttoinvestitionen
in Sachanlagen";Umsatzerlöse;Bruttowert- schöpfung
;;;Mio. EUR;;;
Insgesamt;173459;817661;30105,918;12157,388;294469,65799999994;69110,29500000001
Land- und Forstwirtschaft;;;;;;
Bergbau;22;162;13,595;2,781;198,154;57,219
Herstellung von Waren;4141;57350;3196,726;733,126;31911,218;7134,972
Energieversorgung;415;6264;467,022;735,265;46454,346;1593,715
Wasserversorgung und Abfallentsorgung;144;4048;231,418;105,689;1691,661;710,605
Bau;8066;60853;2290,947;237,095;10682,722;3705,917
Handel;25396;145402;5254,093;720,745;99081,745;10934,585
Verkehr;5837;44848;1610,135;1466,933;14126,748;5110,679
Beherbergung und Gastronomie;9777;61386;1071,248;169,521;2919,66;1655,731
Information und Kommunikation;12490;68192;3761,231;967,576;17759,953;7577,986
Fiz- und Versicherungsleistungen;4428;44074;3218,268;903,386;23562,059;8540,337
Grundstücks- und Wohnungswesen;10967;23378;760,964;3203,819;11835,469;5267,152
Freiberufliche Dienstleistungen;34967;111532;4151,742;331,385;17704,423;7248,698
Sonst. wirtschaftl. Dienstleistungen;7927;81699;2295,371;2326,363;8860,725;4888,013
Erziehung und Unterricht;5915;14559;253,199;32,896;701,866;371,802
Gesundheits- und Sozialwesen;19455;54510;1090,429;107,561;4882,258;3116,283
Kunst, Unterhaltung und Erholung;11772;19404;257,538;59,314;1349,792;755,55
Sonstige Dienstleistungen;11740;20000;181,992;53,933;746,859;441,051
Quelle: Statistik Austria – Leistungs- und Strukturstatistik 2021.;;;;;;
(1) Beschäftigte im Jahresdurchschnitt.;;;;;;
;;;;;;
