Nettoauslastung der Gästebetten in Wien nach Betriebskategorien und Monaten 2022;;;;;
Monat;Nettoauslastung in Hotels und ähnlichen Beherbergungsbetrieben in %;;;;
;insgesamt;5-Stern;4-Stern;3-Stern;2-/1-Stern
2022;46,487327957228906;41,76017738246344;47,72475473088357;46,80884722029903;46,05137484844713
Jänner;14,3;14,1;13,7;15,2;14,5
Februar;20,5;18,1;20,9;20,8;21,7
März;30,1;28,2;31,1;29,8;29
April;46,3;38,2;47,3;48,1;47,2
Mai;50,4;45,6;50,9;52,6;47,3
Juni;54;46,9;54,8;55;57,2
Juli;55,9;50,5;58,7;53,5;57,6
August;56,7;47;61,2;53,9;57,2
September;54,6;50,2;56,7;54,4;51,2
Oktober;54,3;48;55,7;56;50,9
November;48,3;46,3;48,2;50,7;43,5
Dezember;61,4;64,1;61,7;61,5;56
Quelle: Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;
;;;;;
;;;;;
