Buttoregionalprodukt in Wien seit 2000;;;;;;
Jahr;Insgesamt;Bruttoregionalprodukt;;;;
;;"Anteil Wiens am 
Bruttoinlandsprodukt
Österreichs";pro Beschäftigungsverhältnis in EUR;;pro EinwohnerIn in EUR;
;Mio. EUR;%;Wien;Österreich;Wien;Österreich
2000;57660;26,9936237746131;64692,02288791653;54102,12248619624;37200;26700
2001;59843;27,13660582700374;66774,15755411738;55448,693771843806;38300;27400
2002;61965;27,329261031600765;69126,50602409638;56985,77460540867;39100;28100
2003;62666;27,02728347034012;70111,88185276349;57982,894868460535;39100;28600
2004;64529;26,62658656147358;72131,67896266488;60359,14423052975;39800;29700
2005;67364;26,51343107350192;74666,37109288406;62472,33833292353;41000;30900
2006;71019;26,517041041878247;76405,59440559441;64768,44574496384;42900;32400
2007;73965;26,046031734852697;78154,05748098055;67411,57479941129;44400;34200
2008;76694;26,107529224338073;79706,92163791311;68245,32466023929;45800;35300
2009;76313;26,49352182305481;79368,69474778991;67381,8658182839;45300;34500
2010;78130;26,40445830812749;80331,07135513058;68728,54388776624;46100;35400
2011;80747;26,03658477601256;81769,11392405063;70821,87714089974;47300;37000
2012;81982;25,72767242109756;81541,67495524169;72016,85990010622;47500;37800
2013;83118;25,66083171251273;82532,02263926124;72801,85201834037;47400;38200
2014;84750;25,439296884849284;83218,77454831108;74134,58542881304;47600;39000
2015;87285;25,353720491824706;84825,07288629738;76074,82211517214;48100;39900
2016;91943;25,710554573723183;87531,41660319878;77886,4834255347;49600;40900
2017;92881;25,146333407334808;86772,23467862481;79106,0567120706;49500;42000
2018;97152;25,21633954017141;89064,90649064907;81035,25155645297;51300;43600
2019;99673;25,095802804844276;89884,57029488683;82485,98130841121;52400;44700
2020;95385;25,03267356354418;87436,97864148868;80664,29569414454;49800;42700
2021;101960;25,10408741619455;90615,00177746179;83989,7015943917;53000;45400
Quelle: Statistik Austria – Regionale Gesamtrechnungen, ESVG 2010.;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;
;;;;;;
;;;;;;
;;;;;;
interne Anmerkung: mit den neuen Jahreswerten werden immer die letzten Jahre revidiert. Daher alle Jahre austauschen.;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
