Unselbstständig Beschäftigte in Unternehmen in Wien nach Geschlecht und Wirtschaftstätigkeiten 2021;;;;;;
"Abschnitt und ausgewählte Abteilung
(ÖNACE 2008)";Insgesamt;Unselbstständig Beschäftigte;;;;
;;Geschlecht;;darunter fremde Staatsangehörigkeit;;
;;Männer;Frauen;insgesamt;Männer;Frauen
Insgesamt;1167560;621984;545576;292311;161507;130804
Land- und Forstwirtschaft;1437;775;662;877;492;385
Bergbau;288;216;72;25;5;20
Herstellung von Waren;64455;46645;17810;13697;9255;4442
Nahrungs- und Futtermittel;8838;4844;3994;3566;2069;1497
Elektrische Ausrüstungen;8326;6427;1899;1077;765;312
Reparatur/Installation v. Maschinen;9547;8239;1308;995;832;163
Pharmazeutische Erzeugnisse;5803;3192;2611;1112;570;542
Maschinenbau;5214;4274;940;1075;836;239
Metallerzeugnisse;2882;2176;706;879;710;169
Sonstige Waren;3014;1654;1360;676;333;343
Kraftwagen und -teile;2042;1868;174;345;313;32
Datenverarbeitungsgeräte;2093;1638;455;349;248;101
Chemische Erzeugnisse;2223;1534;689;597;384;213
Rest;14473;10799;3674;3026;2195;831
Energieversorgung;6447;4852;1595;418;269;149
Wasserversorgung und Abfallentsorgung;1158;915;243;380;348;32
Abfallbehandlung;930;721;209;320;293;27
Rest;228;194;34;60;55;5
Bau;62529;55291;7238;28875;26989;1886
Sonst. Bautätigkeiten;38596;33732;4864;18172;16844;1328
Hochbau;20229;18086;2143;9551;9026;525
Tiefbau;3704;3473;231;1152;1119;33
Handel;133649;60673;72976;36760;17078;19682
Einzelhandel;69356;20585;48771;21004;7342;13662
Großhandel;53517;31435;22082;13062;7447;5615
Kfz-Handel und -reparatur;10776;8653;2123;2694;2289;405
Verkehr;88057;71113;16944;18966;15925;3041
Landverkehr;41200;35772;5428;11383;10154;1229
Dienstleistungen für den Verkehr;25037;21052;3985;3006;2369;637
Post- und Kurierdienste;21430;14036;7394;4453;3314;1139
Luftfahrt;267;159;108;79;48;31
Schifffahrt;123;94;29;45;40;5
Beherbergung und Gastronomie;62243;34036;28207;34470;19135;15335
Information und Kommunikation;66851;43798;23053;14292;9450;4842
IT-Dienstleistungen;29843;21315;8528;7396;4926;2470
Informationsdienstleistungen;12404;8419;3985;3817;2790;1027
Telekommunikation;9435;6410;3025;1074;743;331
Rest;15169;7654;7515;2005;991;1014
Fiz- und Versicherungsleistungen;56976;29722;27254;8086;4188;3898
Grundstücks- und Wohnungswesen;19110;8581;10529;3594;1821;1773
Freiberufliche/techn. Dienstleistungen;95629;43473;52156;21787;10122;11665
Unternehmensführung, -beratung;27891;13979;13912;6843;3453;3390
Rechtsberatung und Wirtschaftsprüfung;22032;6318;15714;3586;910;2676
Architektur- und Ingenieurbüros;17863;10598;7265;4391;2463;1928
Werbung und Marktforschung;14143;5929;8214;2859;1291;1568
Rest;13700;6649;7051;4108;2005;2103
Sonst. wirtschaftl. Dienstleistungen;101713;57283;44430;45830;24889;20941
Öffentliche Verwaltung;166488;80031;86457;7598;2308;5290
Erziehung und Unterricht;77000;31091;45909;18967;7667;11300
Gesundheits- und Sozialwesen;111077;30190;80887;24367;5802;18565
Kunst, Unterhaltung und Erholung;21381;11212;10169;5038;2491;2547
Sonst. Dienstleistungen;31072;12087;18985;8284;3273;5011
Quelle: Statistik Austria – Arbeitsstättenzählung 2021.;;;;;;
