Bauwesen in Wien nach Monaten 2022;;;;;;
Monat (1);Betriebe;Unselbstständig Beschäftigte;"Bezahlte
Arbeitsstunden";Bruttoverdienste;Auftragseingänge;"Wert der technischen
Gesamtproduktion"
;;;1.000 h;Mio. EUR;;
Jänner;7126;52385;7577,838;168,113;454,794;336,091
Februar;6967;54187;7815,805;168,483;701,419;602,325
März;7073;55962;8670,071;188,922;783,053;479,888
April;7091;55939;8462,224;188,834;700,717;485,802
Mai;7142;56540;8756,98;201,271;555,003;552,472
Juni;7055;56433;8782,667;274,34;590,28;482,403
Juli;7057;55922;8523,152;200,096;602,127;495,433
August;7057;56178;8811,004;201,445;464,4;484,636
September;7060;56554;8755,773;196,305;680,46;553,797
Oktober;6950;56371;8617,189;201,491;589,622;519,442
November;6943;56292;8793,443;323,321;949,188;556,037
Dezember;6980;49630;7684,355;197,44;1090,586;529,802
Quelle: Statistik Austria – Konjunkturstatistik im Produzierenden Bereich (Grundgesamtheit).;;;;;;
(1) Monatsende, vorläufige Ergebnisse.;;;;;;
;;;;;;
