Nominelle Bruttowertschöpfung in Wien zu Herstellungspreisen seit 2016;;;;;;
"Abschnitt
(ÖNACE 2008)";Berichtsjahr;;;;;
;2016;2017,0;2018,0;2019,0;2020;2021,0
;Mio. EUR;;;;;
Bruttowertschöpfung;82004;82836,0;86812,0;89074,0;85610;91214,0
Land- und Forstwirtschaft, Fischerei (A);34;34,0;44,0;52,0;59;70,0
Bergbau und Gewinnung von Steinen u. Erden (B);96;114,0;96,0;57,0;53;62,0
Herstellung von Waren  (C);6767;6442,0;6279,0;5749,0;6031;6994,0
Energieversorgung (D);1628;1544,0;1462,0;1287,0;1705;899,0
"Wasserversorgung_ Abwasser- u. Abfallentsorgung u. 
Beseitigung v. Umweltverschmutzungen €";606;636,0;685,0;697,0;717;820,0
Bau (F);3462;3624,0;3977,0;4064,0;4185;4523,0
Handel_ Instandhaltung und Reparatur von KFZ (G);10728;9923,0;11065,0;11331,0;10257;11258,0
Verkehr und Lagerei (H);4524;4505,0;4560,0;4653,0;4487;4776,0
Beherbergung und Gastronomie (I);2830;2964,0;3135,0;3397,0;1365;1895,0
Information und Kommunikation (J);7101;7324,0;8020,0;8369,0;8183;8391,0
Erbringung von Fiz- und Versicherungsdienstl. (K);4896;4987,0;5129,0;5313,0;5154;5608,0
Grundstücks- und Wohnungswesen (L);7700;8185,0;8469,0;8565,0;8783;8876,0
Erbringung v. freiberuflichen, wissenschaftl., techn. u. sonst. wirtschaftl. Dienstl. (M+N);12121;12550,0;13213,0;13980,0;13131;13936,0
Öffentliche Verwaltung, Verteidigung_ Sozialversicherung (O);4860;4917,0;5100,0;5256,0;5476;5691,0
Erziehung und Unterricht (P);5326;5480,0;5675,0;5897,0;6036;6303,0
Gesundheits- und Sozialwesen (Q);5936;6122,0;6352,0;6700,0;6941;7918,0
Kunst, Unterhaltung und Erholung, Erbringung von sonst. Dienstl., private Haushalte (R,S,T);3388;3486,0;3551,0;3708,0;3046;3192,0
Quelle: Statistik Austria – Regionale Gesamtrechnungen, ESVG 2010 (Revisionsstand September 2022).;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;
