Unternehmensneugründungen * der gewerblichen Wirtschaft nach Sparten seit 2004;;;;;;;;;;;;;;;;;;;;
Sparte;Berichtsjahr;;;;;;;;;;;;;;;;;;;
;2003;2004,0;2005,0;2006,0;2007,0;2008,0;2009,0;2010;2011,0;2012;2013,0;2014;2015,0;2016,0;2017,0;2018,0;2019;2020,0;2021,0;2022,0
Wien;;;;;;;;;;;;;;;;;;;;
Unternehmensneugründungen;6651;8272,0;8683,0;7811,0;7978,0;9582,0;8255,0;9253;8325,0;8279;8456,0;8256;8704,0;9147,0;9098,0;9105,0;9131;8514,0;9034,0;9053,0
Gewerbe und Handwerk;1625;3041,0;3192,0;2728,0;3021,0;4823,0;3574,0;4501;3879,0;4008;3921,0;3604;3966,0;4109,0;3848,0;3717,0;3570;3102,0;3307,0;3447,0
Industrie;95;79,0;102,0;96,0;118,0;134,0;140,0;137;147,0;149;144,0;4;6,0;3,0;8,0;2,0;4;4,0;3,0;4,0
Handel;1967;1887,0;2011,0;1932,0;1615,0;1396,0;1475,0;1537;1400,0;1419;1468,0;1653;1682,0;1759,0;1782,0;1828,0;1974;2158,0;2202,0;1980,0
Bank und Versicherung;4;3,0;1,0;3,0;6,0;7,0;3,0;1;1,0;–;3,0;–;2,0;9,0;3,0;1,0;–;1,0;0,0;1,0
Transport und Verkehr;375;441,0;550,0;387,0;518,0;506,0;509,0;573;581,0;425;448,0;439;425,0;851,0;725,0;719,0;614;445,0;540,0;607,0
Tourismus und Freizeitwirtschaft;559;581,0;573,0;502,0;588,0;612,0;498,0;552;463,0;513;658,0;772;714,0;817,0;737,0;691,0;819;618,0;628,0;749,0
Information und Consulting;2026;2240,0;2254,0;2163,0;2112,0;2104,0;2056,0;1952;1854,0;1765;1814,0;1784;1909,0;1869,0;1995,0;2147,0;2150;2186,0;2354,0;2265,0
Österreich;;;;;;;;;;;;;;;;;;;;
Unternehmensneugründungen;29740;29740,0;31001,0;29109,0;30304,0;40331,0;32712,0;37125;35279,0;35638;36946,0;37054;39563,0;40828,0;40127,0;39322,0;39092;38857,0;40751,0;39360,0
Gewerbe und Handwerk;9440;9440,0;10008,0;9874,0;10532,0;21308,0;14780,0;18926;18506,0;19661;19935,0;20311;21863,0;23232,0;22113,0;20818,0;19577;18333,0;18852,0;19020,0
Industrie;331;331,0;361,0;338,0;360,0;370,0;388,0;405;385,0;407;414,0;50;59,0;49,0;58,0;45,0;63;70,0;63,0;71,0
Handel;8475;8475,0;9094,0;7824,0;7997,0;7415,0;7270,0;7333;6603,0;6661;7297,0;7443;7960,0;7917,0;7960,0;8165,0;8772;9895,0;10145,0;8694,0
Bank und Versicherung;7;7,0;4,0;2,0;7,0;7,0;3,0;1;3,0;–;3,0;1;3,0;10,0;3,0;2,0;2;1,0;1,0;1,0
Transport und Verkehr;1453;1453,0;1520,0;1383,0;1581,0;1508,0;1395,0;1535;1524,0;1260;1278,0;1282;1253,0;1466,0;1657,0;1728,0;1754;1588,0;1880,0;1898,0
Tourismus und Freizeitwirtschaft;3041;3041,0;2977,0;2727,0;2750,0;2742,0;2327,0;2604;2278,0;2152;2299,0;2623;2826,0;2716,0;2551,0;2399,0;2726;2379,0;2594,0;2752,0
Information und Consulting;6993;6993,0;7037,0;6961,0;7077,0;6981,0;6549,0;6321;5980,0;5497;5720,0;5344;5599,0;5438,0;5785,0;6165,0;6198;6591,0;7216,0;6924,0
Quelle: Wirtschaftskammer Wien.;;;;;;;;;;;;;;;;;;;;
* Neugründungen wurden den Sparten schwerpunktmäßig zugeordnet. Ab 2008 Bruch in der Zeitreihe aufgrund geänderter rechtlicher Lage. Die Tätigkeit der selbstständigen Personenbetreuung wurde im Jahr 2007 ausdrücklich in der Gewerbeordnung geregelt, dies führte zu einem sprunghaften Anstieg der Mitglieder- und Gründungszahlen im Jahr 2008. Mit der neuen Fachorganisationsordnung 2010, die ab dem Berichtsjahr 2009 angewendet wird, kommt es zu einigen Verschiebungen von Berufszweigen in andere Sparten (2014: Verschiebungen von der Industrie zur Sparte Gewerbe und Handwerk). Dies beeinträchtigt die Vergleichbarkeit der Werte ab 2009 zu den Vorjahren geringfügig.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
