Hunde, Hundezonen und Hundekotsackerlspender nach Gemeindebezirken 2022;;;;;;;;;;
Gemeindebezirk;Hunde (1);Hundezonen und Hundeausläufe (2);;;;"Hundekotsackerl-
spender";;;;
;;Zahl;Fläche;Anteil an der Bezirksfläche;"Auslauffläche
pro Hund (3)";Zahl;Dichte (4);;;
;;;m²;%;m²;;m²;;;
Wien;56792;182;1138236,78;–;20,04;3926;–;;;
1, Innere Stadt;479;2;3955,36;0,14;8,26;67;42818;;;
2, Leopoldstadt;2573;14;326410,30999999994;1,7;126,86;201;95731;;;
3, Landstraße;2335;12;15633,06;0,21;6,7;115;64375;;;
4, Wieden;689;2;938,99;0,05;1,36;65;27328;;;
5, Margareten;939;9;5389,36;0,27;5,74;51;39444;;;
6, Mariahilf;601;4;2295,2799999999997;0,16;3,82;62;23468;;;
7, Neubau;606;2;702,0799999999999;0,04;1,16;81;19855;;;
8, Josefstadt;504;3;2120,66;0,19;4,21;49;22244;;;
9, Alsergrund;945;3;1883,3600000000001;0,06;1,99;98;30279;;;
10, Favoriten;5035;19;374888,6000000001;1,18;74,46;262;121460;;;
11, Simmering;3394;13;20323,25;0,09;5,99;215;108169;;;
12, Meidling;2333;12;23002,229999999996;0,28;9,86;220;36833;;;
13, Hietzing;2023;3;15117,04;0,04;7,47;207;182187;;;
14, Penzing;2991;9;102132,19;0,3;34,15;261;129350;;;
15, Rudolfsheim-Fünfhaus;1372;8;17340,39;0,44;12,64;102;38416;;;
16, Ottakring;1998;2;3566,6499999999996;0,04;1,79;191;45409;;;
17, Hernals;1404;3;2617,8599999999997;0,02;1,86;169;67434;;;
18, Währing;1461;4;8895,96;0,14;6,09;100;63472;;;
19, Döbling;2707;6;15414,59;0,06;5,69;215;116018;;;
20, Brigittenau;1764;9;11841,23;0,21;6,71;114;50092;;;
21, Floridsdorf;7271;9;28439,68;0,06;3,91;371;119793;;;
22, Donaustadt;8956;17;106678,07;0,1;11,91;474;215822;;;
23, Liesing;4412;17;48650,58;0,15;11,03;236;135852;;;
Quelle: Stadt Wien Rechnungs- und Abgabenwesen, Stadt Wien Wiener Stadtgärten und Stadt Wien Abfallwirtschaft, Straßenreinigung und Fuhrpark,;;;;;;;;;;
"(1) Stichtag 1, 9, 2022,
(2) Hundezonen: Stichtag 7, 6, 2022, Verordnete Hundezonen und Hundeausläufe in Betreuung der Stadt Wien Wiener Stadtgärten, 
(3) Fläche pro registriertem Hund im jeweiligen Bezirk,
(4) Auf einen Sackerlspender kommen ,,, m² Bezirksfläche,";;;;;;;;;;
;;;;;;;;;;
