Rechnungsabschluss der Stadt Wien nach Einnahmenarten von 2014 bis 2019;;;;;;
Einnahmenart;Berichtsjahr;;;;;
;2014;2015,0;2016,0;2017,0;2018;2019,0
;Mio. EUR;;;;;
Insgesamt;12344,0111871;13080,48089543;13381,523668200001;14693,34;13996,35109727;14212,72526524
Eigene Steuern (und Abgaben);1340,988804;1315,07674802;1337,0529566300002;1409,0298108;1714,43033734;1797,64917273
"Ertragsanteile an den gemeinschaftlichen Bundesabgaben
(einschließlich Anteil an der Spielbankabgabe)";5557,349318;5869,537234;5923,998824;6022,775366;6127,613778;6479,046688
Gebühren;463,93531896;464,93990435;479,92449737;490,17592915;503,03432863;522,18391376
Einnahmen aus Leistungen;693,61707771;716,39932127;746,04267106;774,73430896;784,82488554;1090,65882015
Kostenersätze der Wiener Stadtwerke;678,35223571;673,86027011;684,53272741;656,72279112;639,29971002;624,29538813
Beiträge des Bundes für LehrerInnenpersonalaufwand;805,7262678;832,4400141799999;880,1794907000001;927,80316726;956,71066046;991,99753336
"Sonstige laufende Transferzahlungen von 
Trägern des öffentlichen Rechts";245,09684038;260,8035814;298,68026881000003;370,70082523;434,56505156;369,43988947
Kapitaltransferzahlungen von Trägern des öffentlichen Rechts;126,55469029;161,74594978;162,35288988999997;125,97103947;137,74480327;80,27135211
Fremdmittelaufnahmen;922,31071418;1128,14081279;1428,03979983;2379,82854701;1342,59481744;571,0
Innere Darlehen;30,42714487;30,06125337;33,04261006;27,11879796;25,51784854;27,72358091
Sonstige Einnahmen;1479,65277519;1627,47580616;1407,67693244;1508,48182654;1330,01487647;1658,4589266199998
Quelle: Rechnungsabschluss der Stadt Wien.;;;;;;
Anmerkung: Mit dem Fizjahr 2019 endet die Zeitreihe aufgrund der Umstellung auf einen Ergebnis- und einen Fizierungshaushalt.;;;;;;
;;;;;;
