UnselbststÃƒÂ¤ndige BeschÃƒÂ¤ftigung in Wien nach Monaten, sozialrechtlicher Stellung und Geschlecht 2019;;;;;;;;;;;;
Monat;Insgesamt;Geschlecht;;BeschÃƒÂ¤ftigungsverhÃƒÂ¤ltnisse;;;;;;;;
;;;;Arbeiterinnen und Arbeiter;;;Angestellte;;;Beamtinnen und Beamte;;
;;MÃƒÂ¤nner;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen
JÃƒÂ¤nner;845424;431467;413957;218069;142252;75817;581944;263811;318133;45411;25404;20007
Februar;849866;434781;415085;220641;144726;75915;583973;264755;319218;45252;25300;19952
MÃƒÂ¤rz;857755;441665;416090;226952;150444;76508;585759;265989;319770;45044;25232;19812
April;863720;445581;418139;231670;153688;77982;587245;266800;320445;44805;25093;19712
Mai;866109;447689;418420;233764;155357;78407;587765;267371;320394;44580;24961;19619
Juni;867377;448619;418758;235073;156264;78809;587881;267480;320401;44423;24875;19548
Juli;871965;451066;420899;235324;156174;79150;592497;270170;322327;44144;24722;19422
August;866692;448303;418389;233380;154887;78493;589336;268771;320565;43976;24645;19331
September;873331;452045;421286;235841;156998;78843;593837;270520;323317;43653;24527;19126
Oktober;874786;452253;422533;234897;156490;78407;596548;271428;325120;43341;24335;19006
November;873981;449934;424047;232214;153764;78450;598629;271938;326691;43138;24232;18906
Dezember;858396;436534;421862;218759;141367;77392;596694;271052;325642;42943;24115;18828
Quelle: Hauptverband der ÃƒÂ¶sterreichischen SozialversicherungstrÃƒÂ¤ger.;;;;;;;;;;;;
