Gemeindebezirk;Arbeitslose Personen (inkl. SchulungsteilnehmerInnen) 
im Jahresdurchschnitt;;;Gemeldete
offene Stellen
;insgesamt;Geschlecht;;
;;MÃƒÂ¤nner;Frauen;
Wien;140714,083333333;78312,0833333332;62401,9999999999;12887,5833333333
1. Innere Stadt;383,166666666659;204,083333333327;179,083333333326;1153,58333333333
2. Leopoldstadt;8249,08333333333;4670,41666666666;3578,66666666666;953,5
3. LandstraÃƒÅ¸e;5730,83333333333;3194,33333333333;2536,5;1524,41666666667
4. Wieden;2121,66666666666;1330,25;791,41666666666;220,166666666667
5. Margareten;4482,16666666666;2567;1915,16666666666;219,75
6. Mariahilf;2123,58333333333;1252,58333333333;870,999999999995;296,583333333333
7. Neubau;1595,83333333333;884,999999999993;710,833333333328;438,916666666667
8. Josefstadt;1141,16666666666;693,333333333328;447,833333333325;197,416666666667
9. Alsergrund;1977,75;1135,25;842,499999999997;385,166666666667
10. Favoriten;19433,75;11000,9166666667;8432,83333333333;1160,41666666667
11. Simmering;9362,08333333333;4932,75;4429,33333333333;483,416666666667
12. Meidling;9141,49999999999;5115,58333333333;4025,91666666667;704,416666666667
13. Hietzing;2529,91666666666;1385,5;1144,41666666666;199,5
14. Penzing;5989,25;3373,83333333333;2615,41666666666;457,083333333333
15. Rudolfsheim-FÃƒÂ¼nfhaus;7478,5;4371;3107,5;483,833333333333
16. Ottakring;8428,58333333333;4925,5;3503,08333333333;442
17. Hernals;4214,41666666667;2419;1795,41666666666;225,333333333333
18. WÃƒÂ¤hring;2668,41666666666;1446,41666666666;1222;125
19. DÃƒÂ¶bling;3850,33333333333;2090,99999999999;1759,33333333333;365,916666666667
20. Brigittenau;8749,83333333333;4975,5;3774,33333333333;278,166666666667
21. Floridsdorf;12822,75;6942,83333333333;5879,91666666666;656,083333333333
22. Donaustadt;11761,5833333333;6005,5;5756,08333333333;921
23. Liesing;6477,91666666667;3394,5;3083,41666666666;995,916666666667
Quelle: Arbeitsmarktservice Wien, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;
