Katholikinnen und Katholiken nach Wohnbezirk und Geschlecht 2001, 2021 und 2022;;;;;;;;;;;
Gemeindebezirk;15. 5. 2001;;;31. 12. 2021;;;;31. 12. 2022;;;
;"römisch-
katholisch insgesamt";Geschlecht;;"römisch-
katholisch insgesamt";Geschlecht;;;"römisch-
katholisch insgesamt";Geschlecht;;
;;Männer;Frauen;;Männer;Frauen;unbek.;;Männer;Frauen;unbek.
Wien;762089;330828;431261;570214;258060;312081;73;557785;252780;305000;5
1. Innere Stadt;8749;3926;4823;6410;3151;3257;2;6334;3122;3212;–
2. Leopoldstadt;38438;16865;21573;27236;12478;14754;4;26665;12238;14427;–
3. Landstraße;39529;16984;22545;29497;13367;16127;3;28957;13141;15816;–
4. Wieden;13638;5829;7809;10540;4807;5732;1;10240;4696;5544;–
5. Margareten;20705;8882;11823;13688;6281;7406;1;13235;6123;7112;–
6. Mariahilf;13210;5742;7468;9257;4105;5152;–;8962;3972;4989;1
7. Neubau;12833;5480;7353;10192;4644;5547;1;9789;4461;5328;–
8. Josefstadt;11736;5284;6452;8705;4020;4685;–;8530;3949;4581;–
9. Alsergrund;18476;7863;10613;14159;6493;7666;–;13738;6268;7469;1
10. Favoriten;70810;30789;40021;46103;20882;25213;8;44870;20284;24585;1
11. Simmering;38808;17390;21418;27672;12525;15145;2;26936;12248;14688;–
12. Meidling;36807;15662;21145;24959;11235;13718;6;24170;10903;13267;–
13. Hietzing;28623;12035;16588;22407;9979;12424;4;22144;9860;12284;–
14. Penzing;40747;17563;23184;31118;14020;17095;3;30799;13890;16909;–
15. Rudolfsheim-Fünfhaus;26099;11240;14859;17975;8382;9590;3;17393;8088;9305;–
16. Ottakring;38021;16297;21724;26072;11904;14164;4;25260;11578;13682;–
17. Hernals;22562;9815;12747;17100;7784;9314;2;16528;7524;9004;–
18. Währing;23768;9981;13787;18912;8382;10530;–;18649;8267;10382;–
19. Döbling;35684;14840;20844;28160;12474;15682;4;27451;12209;15242;–
20. Brigittenau;32314;14081;18233;19382;8758;10623;1;18643;8441;10202;–
21. Floridsdorf;69146;30462;38684;54777;24752;30016;9;53794;24321;29473;–
22. Donaustadt;74596;33472;41124;66413;29956;36446;11;65914;29795;36117;2
23. Liesing;46790;20346;26444;39480;17681;21795;4;38784;17402;21382;–
Quelle: Statistik Austria – Volkszählung 2001 sowie Erzdiözese Wien – Matrikenreferat.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
