Gemeinderatswahl – Wahlberechtigte nach Geschlecht und Wahlbeteiligung nach Gemeindebezirken 2020;;;;;;
Gemeindebezirk;Wahlberechtigte;;;Abgegebene Stimmen;;Wahlbeteiligung
;insgesamt;Geschlecht;;insgesamt;darunter…;
;;Männer;Frauen;;gültig;%
Wien;1133010;535983;597027;739485;725501;65,26729684645325
1, Innere Stadt;10689;5216;5473;7713;7608;72,1582935728319
2, Leopoldstadt;58872;28376;30496;39303;38656;66,76008968609865
3, Landstraße;54752;25758;28994;37294;36662;68,11440677966102
4, Wieden;19750;9402;10348;14016;13835;70,96708860759495
5, Margareten;30227;14558;15669;19994;19711;66,14616071723955
6, Mariahilf;19644;9458;10186;13798;13618;70,24027692934229
7, Neubau;19943;9419;10524;14781;14624;74,11623125908841
8, Josefstadt;15086;7135;7951;11466;11345;76,004242343895
9, Alsergrund;25197;11856;13341;18469;18189;73,29840854069928
10, Favoriten;108871;52333;56538;64523;63289;59,26555281020658
11, Simmering;59872;28717;31155;36127;35344;60,34039283805451
12, Meidling;54171;25791;28380;32892;32292;60,71883480090824
13, Hietzing;36934;16880;20054;26778;26364;72,50230140250176
14, Penzing;59086;27721;31365;39816;39192;67,386521341773
15, Rudolfsheim-Fünfhaus;38581;18583;19998;23672;23328;61,356626318654264
16, Ottakring;56188;26527;29661;36479;35663;64,92311525592653
17, Hernals;31797;14711;17086;21710;21353;68,27688146680504
18, Währing;31842;14384;17458;23569;23193;74,01859179699768
19, Döbling;47503;21769;25734;32983;32263;69,43350946256027
20, Brigittenau;45091;21579;23512;27104;26439;60,10955623073341
21, Floridsdorf;107154;50940;56214;65573;63998;61,19510237601956
22, Donaustadt;128191;60715;67476;82231;80498;64,14724902684276
23, Liesing;73569;34155;39414;49194;48037;66,86783835582922
Quelle: Stadtwahlbehörde,;;;;;;
;;;;;;
;;;;;;
