;;;;;;;;;;
;;;;;;;;;;
Bezüge;;;Aufwandsentschädigungen;;;Nebengebühren;;;Dienstgeberbeiträge;
Geldbezüge Beamte Vw;781432914,38;;Reisegebühren;11956776,73;;Vergütungen f. Nebentätigkeit;1791247,93;;Dienstgeberbeiträge;443766032,54
Geldbezüge Beamte hV;147463188,14;;sonst. Aufwandsentschädigungen;8349135,62;;Mehrleistungsvergütungen;163085193,51;;;443,76603254
Geldbezüge VB Vw;670405060,3;;;;;Dienstjubiläen;27919270,41;;;
Geldbezüge VB hV;276312792,36;;;;;Belohnungen und Geldaushilfen;4625354,8;;;
Geldbezüge n.gj.Ang;1935391,95;;;;;So. Nebengebühren;225031455,24;;;
Geldbezüge n.gj.Arb;22778824,43;;;;;Freiwillige Sozialleistungen;7352906,2;;;
Sachbezüge Beamte Vw;1454,78;;;;;;;;;
Summe;1900329626,34;;Summe;20305912,35;;Summe;429805428,09;;;
;1900,32962634;;;20,30591235;;;429,80542809;;;
;;;;;;;;;;
Pensionen;;;;;;;;;;
Pensionen und sonstige Ruhebezüge;1399817960,85;;;Aktivbezüge;2794206999,32;;;;;
;1399,81796085;;;;;;;;;
