Energetischer Endverbrauch in Wien nach Energieträgern seit 2008;;;;;;;;
Energieträger;Berichtsjahr;;;;;;;
;2008;2009;2010;2011;2012;2013;2014;2015
;Terajoule;;;;;;;
Energieverbrauch;134115,528337693;135736,70837722;142290,598439982;134219,721267596;134295,597169399;137305,6911302;128390,540669544;132452,218414001
Kohle;96,5009321956927;69,827412325883;79,7244906947903;155,952269849981;159,915311354679;80,8181964452663;62,3417023720816;70,6796764731623
Koks;31,86745542572;30,1631028668604;35,5487227357178;59,4040325529461;59,689808380194;12,9850820854991;10,4604802219855;11,6700211030604
Rest;64,6334767699728;39,6643094590226;44,1757679590725;96,5482372970349;100,225502974485;67,8331143597673;51,8812221500961;59,0096553701019
Erdöl;51540,5288033288;49266,078305766;49920,1956976052;47310,5900887238;46253,5614174435;47485,3483247352;46044,3127465507;46610,8792397782
Benzin;12488,791894119;12107,6473359256;11871,4591008979;11364,4315035428;10822,8773179621;10409,0436580048;10102,8322202961;10084,6764838928
Diesel;34028,3563842573;32484,2741606157;33559,3344153126;32195,4940348729;32223,501242229;34061,3409282881;33113,1137868449;33738,3757654263
Flüssiggas;1146,71782452292;1116,20416916385;1164,66480940812;1090,1507002724;1009,94555535998;864,950182852635;769,432290716509;603,110776005706
Gasöl für Heizzwecke;3026,55734229613;2657,32492266522;2402,48594658905;2048,93561169897;1705,57377009843;1695,46607708377;1586,02800509167;1615,42980177979
Heizöl;814,391658565291;880,160785768574;906,307508449469;596,265323452076;449,764729315495;420,086511425432;463,887619833653;560,352646303877
Rest;35,713699568114;20,4669316270447;15,9439169480393;15,312914884722;41,8988024784412;34,4609670804275;9,01882376780122;8,93376636970788
Naturgas;28045,1580116221;29052,5898158176;31876,245143101;28815,0464468647;28744,6190834348;29561,2262910881;25277,7099502368;26761,3261796853
Erneuerbare Energieträger;5451,73559599904;5929,26439811848;6232,5420092458;6404,01974982611;6494,10598861737;7073,92943734734;6819,86261109883;7449,28986330869
Biogene Brenn- und Treibstoffe;3919,55555176115;4524,22745077311;4668,47919532145;4625,19105692933;4610,60921321446;4883,47305812622;4918,00014627489;5380,02178103753
Brennbare Abfälle;6,45542592141732;18,2152739594831;21,0348707625625;9,26236908383351;10,4160616046649;10,5925143366081;9,28919989080342;10,3202040998613
Brennholz;1120,88398802653;971,168217297505;1030,52510926341;1230,67134627297;1304,67049701018;1577,48201214982;1261,38807577006;1411,89024974472
Wasserkraft;–;–;–;–;–;–;–;–
Rest;404,840630289939;415,653456088381;512,502833898381;538,894977539973;568,41021678806;602,381852734693;631,185189163079;647,057628426577
Fernwärme;19330,7181619471;21774,4013492624;24180,6323028447;21988,5575121754;22754,115013824;23222,783328768;20893,600764144;21983,99177728
Elektrische Energie;29650,8868326;29644,5470959296;30001,25879649;29545,555200156;29889,280354725;29881,585551816;29292,712895142;29576,051677476
Quelle: Statistik Austria – Energiestatistik (Revision 2016).;;;;;;;;
