Bruttoinlandsverbrauch in Wien nach Energieträgern seit 2008;;;;;;;;
Energieträger;Berichtsjahr;;;;;;;
;2008;2009;2010;2011;2012;2013;2014;2015
;Terajoule;;;;;;;
Energieverbrauch;156872,163127356;159593,537435054;163393,641168934;157030,524365992;153054,839016633;151722,126528493;142193,577707212;149048,960702874
Kohle;96,5009321956927;69,827412325883;79,7244906947903;155,952269849981;159,915311354679;80,8181964452663;62,3417023720816;70,6796764731623
Koks;31,86745542572;30,1631028668604;35,5487227357178;59,4040325529461;59,689808380194;12,9850820854991;10,4604802219855;11,6700211030604
Rest;64,6334767699728;39,6643094590226;44,1757679590725;96,5482372970349;100,225502974485;67,8331143597673;51,8812221500961;59,0096553701019
Erdöl;53093,3615820022;51541,8597628505;53038,0003525039;48791,8620446014;47466,4788651247;48063,7344354268;46884,9271560585;48698,7784852566
Benzin;12498,065903619;12114,4113939256;11878,1639325979;11371,7351691428;10828,6630615621;10415,2808092048;10108,2605333961;10090,1047969928
Diesel;34030,7676650781;32485,4383206157;33560,5413753126;32196,0984126329;32224,155333429;34061,6149799781;33113,3540046791;33738,5962225278
Flüssiggas;1147,17806982075;1116,20416916385;1164,66480940812;1090,1507002724;1009,94555535998;864,950182852635;769,432290716509;603,110776005706
Gasöl für Heizzwecke;3218,18162567188;2851,37482760769;2522,57824730439;2229,00124132232;1880,04365722288;1861,52498041008;1792,93818641921;1758,09184958683
Heizöl;2043,78922660426;2837,04616075474;3788,28517472756;1780,53344589687;1380,04969394576;729,287829430857;992,715386336344;2402,24584862498
Rest;155,379091208197;137,384890782923;123,766813153328;124,343075334131;143,621563604982;131,075653550302;108,226754511168;106,628991518519
Naturgas;70410,8143382044;77871,6025021028;81988,6178153486;74308,2837488395;64839,0643418948;62150,0458073336;53584,2754294836;58816,6225867017
Erneuerbare Energieträger;19851,7468371264;20822,5231994685;21743,5808045551;23798,1459194991;24076,2305442345;22206,3347437481;21519,123623916;23461,0244011603
Biogene Brenn- und Treibstoffe;8890,96457028582;9859,98574851248;10852,1229330369;12337,5946989172;12199,5472759006;10191,276857041;10653,0976587295;11469,7709507411
Brennbare Abfälle;5329,56860721344;5442,33799665948;5260,70065796356;5967,43402118384;5447,41222119067;5449,17203012721;4977,32946182546;6015,97929861389
Brennholz;1126,97717412031;982,246713297505;1043,43333326341;1240,83605027297;1316,77888101018;1588,18548006876;1271,65148132906;1422,79900984872
Wasserkraft;4054,81762500782;4080,83592382362;4021,73698286732;3651,31672833302;4429,18296460418;4209,60414661019;3823,48785241243;3724,81904824039
Rest;449,41886049899;457,116817175378;565,586897423949;600,964420792083;683,3092015289;768,096229900912;793,557169619537;827,656093716203
Fernwärme;1308,0024;1847,1168;1666,7352;1485,0756;2453,652;2274,5772;2050,956;2880,4608
Elektrische Energie;12111,7370378268;7440,60775830684;4876,98250583199;8491,20478320191;14059,4979540244;16946,6161455396;18091,9537953818;15121,3947532818
Quelle: Statistik Austria – Energiestatistik (Revision 2016).;;;;;;;;
