Strom- und Fernwärmeerzeugung der Wien Energie seit 2012;;;;;;
Strom- und Fernwärmeerzeugung, 
Strombedarf; Leitungslänge;Berichtsjahr;;;;;
;2012;2013;2014;2015;2016;2017
Erzeugung in eigenen Anlagen von Wien Energie in MWh;7952400;6890847;7001692;7831074;10992335;11160436,3
Stromerzeugung;4658333;3803463;4241556;4858453;5740825;5824616,8
aus Wärmekraft (inklusive Wärmekraft-Bezugsrechte);4018926;3100681;3590099;4147980;4887387;4912886,6
aus Wasserkraft (inklusive Wasserkraft-Bezugsrechte);638720;699844;602302;604551;675714;676590,7
aus Windkraft und Photovoltaik;687;2938;49155;105922;177724;235139,5
Fernwärmeerzeugung;3294067;3087384;2760136;2972621;5251510;5335819,5
aus Kraft-Wärme-Kopplung;3294067;3087384;2760136;2972621;3432150;3308819,5
aus Müllverbrennung;1020522;942386;1001071;1160204;1296562;1312067
aus Heizwerken und Heizzentralen;514285;1144553;768603;673018;522798;714933
Erzeugung in Kraftwerken, an denen Wien Energie beteiligt ist in MWh;498784;615006;474325;697221;613963;644261,8
Stromerzeugung;306441;385451;334074;388021;387747;415857,5
aus Biomasse;114772;131886;103270;155082;152287;161821
aus Wasserkraft;50968;74487;93506;91271;103606;88333,7
aus Windkraft;140701;179078;137298;141668;131854;165702,8
Fernwärmeerzeugung aus Biomasse;192343;229555;140251;309200;226216;228404,3
Strombedarf im Versorgungsgebiet * in MWh;11634796;11703490;11497859;11576224;11584809;11572191
Leitungslängen ** in km;23033;23178;23276;23555;23697;20095
Freileitung;3736;3734;3734;3735;3742;2751
Kabel;19297;19444;19542;19820;19955;17344
Quelle: Wien Energie GmbH und Wiener Netze GmbH (Strombedarf und Leitungslängen).;;;;;;
* Die Daten beziehen sich auf das gesamte Versorgungsgebiet der Wiener Netze GmbH, d.h. über die Wiener Stadtgrenze hinaus; Werte inklusive Netzverluste.
** Spannungsebenen 230/400V bis 400kV; Angaben beziehen sich auf das gesamte Versorgungsgebiet der Wiener Netze GmbH.
;;;;;;
