Ertrag aus Benützungsgebühren und Betriebsentgelten für öffentliche Einrichtungen in Wien seit 2003;;;;;;;;;;;;;;;
Gebühr;Berichtsjahr;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
;Mio. EUR;;;;;;;;;;;;;;
Wassergebühren;147,43792099;152,25937235;144,49541505;147,4593079;149,34857221;147,18409775;145,05419295;144,74044243;144,33402539;185,90011822;195,66154331;204,00041648;203,57228692;216,92705871;214,01745539
Kanalgebühren *;150,72737711;149,9939464;144,14067796;173,82558166;184,81424373;187,68385912;–;–;–;–;–;–;–;–;–
Müllabfuhrabgabe;171,64475163;172,21006381;174,25779622;203,70286508;211,11334912;212,31210281;224,93744389;226,07377654;230,10174592;245,299554;246,86188849;258,3227533;261,36761743;262,99743866;274,75386017
Friedhofs- und Feuerbestattungsgebühren *;21,07706209;21,52857057;21,51682524;21,74515676;21,69645455;0,0321054;–;–;–;–;–;–;–;–;–
Marktgebühren;4,23187582;4,38952971;4,19667244;4,44055522;4,65171321;4,45848356;4,408702;4,46171562;4,8055013;4,82751362;4,91562219;4,0629443;5,36016427;5,41747975;5,48266056
Bäderbesuchsgebühren;9,75279488;8,17594996;7,91027306;8,44483651;9,37268328;9,2817398;9,51997468;10,40998736;10,33708122;11,15800698;11,72992284;11,88352103;12,65856271;11,18549836;11,02924804
Quelle: Rechnungsabschluss der Stadt Wien.;;;;;;;;;;;;;;;
* Der Ausfall der Einnahmen aus den Friedhofs- und Feuerbestattungsgebühren sowie den Kanalgebühren seit dem Jahr 2009 ist durch die Ausgliederung der MA 43 (nun Wiener Friedhöfe GmbH) und der MA 30 (nun Wien Kanal) bedingt.;;;;;;;;;;;;;;;
