StraÃƒÅ¸enbÃƒÂ¤ume nach Gemeindebezirken seit 2010;;;;;;;;;;
Gemeindebezirk;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Wien;84847;86716;87246;87197;86031;86398;86683;88475;90745;92406
1. Innere Stadt;2770;2798;2714;2713;2757;2582;2561;2691;2718;2689
2. Leopoldstadt;7975;8360;8339;8362;8329;8341;8198;8305;8188;8282
3. LandstraÃƒÅ¸e;1753;1716;1845;1862;1852;1843;1864;2132;2203;2185
4. Wieden;507;496;528;537;527;530;511;539;539;546
5. Margareten;747;718;739;759;707;751;749;752;758;778
6. Mariahilf;438;437;467;455;467;466;474;485;512;510
7. Neubau;517;520;561;535;531;588;561;557;570;554
8. Josefstadt;439;440;456;463;453;463;476;477;479;474
9. Alsergrund;1181;1162;1214;1217;1174;1200;1193;1183;1227;1226
10. Favoriten;6853;7305;7336;7290;6858;6940;6965;6903;6989;7130
11. Simmering;4328;4873;5099;5125;5142;5115;5064;5079;5370;5220
12. Meidling;3886;3892;3902;3907;3949;3967;4039;4009;4031;4083
13. Hietzing;6438;6392;6455;6494;6239;6088;6248;6359;6432;6410
14. Penzing;3761;3768;3840;3914;3823;3814;3998;4052;4082;4301
15. Rudolfsheim-FÃƒÂ¼nfhaus;2449;2473;2448;2420;2380;2289;2349;2325;2326;2403
16. Ottakring;3509;3523;3536;3424;3373;3322;3384;3375;3326;3481
17. Hernals;2370;2389;2486;2496;2379;2452;2441;2511;2461;2513
18. WÃƒÂ¤hring;3462;3443;3332;3303;3343;3292;3372;3409;3354;3617
19. DÃƒÂ¶bling;6229;6234;6013;6046;5872;5871;5924;6544;6784;7113
20. Brigittenau;3078;3118;3100;3118;3189;3234;3208;3160;3104;3209
21. Floridsdorf;6579;6917;7072;7084;7041;7064;7059;7131;8890;9118
22. Donaustadt;9056;9227;9233;9248;9216;9449;9263;9886;9656;9821
23. Liesing;6522;6515;6531;6425;6430;6737;6782;6611;6746;6743
Quelle: Stadt Wien Wiener StadtgÃƒÂ¤rten.;;;;;;;;;;
* Von der Stadt Wien Wiener StadtgÃƒÂ¤rten auf ÃƒÂ¶ffentlichen GemeindestraÃƒÅ¸en, d.h. nicht in Parkanlagen, verwaltete und betreute BÃƒÂ¤ume lt. Baumkataster.;;;;;;;;;;
