Kraftfahrzeugbestand nach Gemeindebezirken 2019;;;;;;;
Gemeindebezirk (1);Insgesamt;Kraftfahrzeuge zum Stichtag 31. 12.;;;;;
;;Pkw;Omnibusse;Lkw;Zugmaschinen (2);sonstige
Kraftfahrzeuge (3);KraftrÃƒÂ¤der (4)
Wien;890959;714960;3909;71236;4088;5443;91323
1. Innere Stadt;19066;16044;20;1353;77;221;1351
2. Leopoldstadt;40364;32832;10;3198;116;310;3898
3. LandstraÃƒÅ¸e;49359;38896;455;4878;285;690;4155
4. Wieden;15242;12379;3;1301;62;119;1378
5. Margareten;19578;15326;6;1747;294;113;2092
6. Mariahilf;12633;10120;1;860;38;85;1529
7. Neubau;12536;9939;Ã¢â‚¬â€œ;879;46;56;1616
8. Josefstadt;9285;7548;Ã¢â‚¬â€œ;491;24;43;1179
9. Alsergrund;16690;13599;Ã¢â‚¬â€œ;1084;58;76;1873
10. Favoriten;85642;71551;11;5937;328;377;7438
11. Simmering;48485;38538;75;4145;275;430;5022
12. Meidling;40170;33215;4;2785;172;126;3868
13. Hietzing;27896;23441;3;938;103;160;3251
14. Penzing;42609;35217;3;1962;88;236;5103
15. Rudolfsheim-FÃƒÂ¼nfhaus;26317;21148;12;2234;69;126;2728
16. Ottakring;39430;31950;18;2744;87;182;4449
17. Hernals;22788;18365;1;1388;58;104;2872
18. WÃƒÂ¤hring;21904;18227;8;877;51;93;2648
19. DÃƒÂ¶bling;36993;30752;1;1950;273;149;3868
20. Brigittenau;29421;24456;442;1675;91;103;2654
21. Floridsdorf;79015;64556;146;4530;383;371;9029
22. Donaustadt;103093;84005;10;6373;611;576;11518
23. Liesing;70608;54543;230;8438;445;543;6409
Polizei, Zollwache;6895;5997;41;308;27;136;386
Post;9030;413;53;7534;20;4;1006
Bahn;5910;1903;2356;1627;7;14;3
Quelle: Statistik Austria  Ã¢â‚¬â€œ  Kfz-Bestand.;;;;;;;
(1) Wohnsitz der Besitzerin bzw. des Besitzers, bei Betriebsfahrzeugen Standort des Betriebes. 
(2) Sattelzugfahrzeuge, Motor- und Transportkarren sowie land- und forstwirtschaftliche Zugmaschinen.
(3) Selbstfahrende Arbeitsmaschinen (einschlieÃƒÅ¸lich sonstige Kfz).
(4) MotorrÃƒÂ¤der, Klein- und LeichtmotorrÃƒÂ¤der, MotorfahrrÃƒÂ¤der, Motordrei- und -vierrÃƒÂ¤der sowie mehrspurige Leichtkraftfahrzeuge.;;;;;;;
