StÃƒÂ¤dtische Parkanlagen in Wien 2020 *;;;;;;;;;;;;
Gemeindebezirk;;Insgesamt **;;Ãƒâ€“ffentlich zugÃƒÂ¤ngliche stÃƒÂ¤dtische Parkanlagen ***;;;;;;;;
;;;;FlÃƒÂ¤che;;Baumbestand;;WechselflorflÃƒÂ¤chen ****;;;;BÃƒÂ¤nke
;;;;mÃ‚Â²;;;;abs.;;mÃ‚Â²;;
Wien;972;991;;12854886,02;;191043;;300;;11005,82;;19740
1. Innere Stadt;23;26;;166744,51;;1643;;41;;1128,21;;1190
2. Leopoldstadt ***;70;42;;3374982,95;;71929;;13;;427,1;;1284
3. LandstraÃƒÅ¸e;36;39;;444413,45;;4314;;27;;936,51;;966
4. Wieden;16;17;;82162,68;;660;;16;;469,9;;527
5. Margareten;21;25;;90040,94;;930;;2;;31,28;;457
6. Mariahilf;12;12;;42236,79;;462;;5;;158,64;;287
7. Neubau;16;17;;37791,32;;356;;2;;150,37;;330
8. Josefstadt;10;12;;22136,18;;307;;2;;68,42;;207
9. Alsergrund;25;26;;170836,72;;1530;;6;;554,46;;441
10. Favoriten;80;83;;2126204,62;;33722;;44;;1872,97;;2622
11. Simmering;56;48;;389681,5;;3987;;14;;562,84;;1112
12. Meidling;55;59;;268937,29;;3071;;2;;65,92;;898
13. Hietzing;47;47;;500141,25;;12583;;8;;201,54;;558
14. Penzing;46;48;;335614,21;;4510;;10;;142,77;;641
15. Rudolfsheim-FÃƒÂ¼nfhaus;41;39;;228835,65;;2317;;11;;269,25;;792
16. Ottakring;32;34;;133470,28;;1690;;7;;200,41;;602
17. Hernals;28;27;;88028,17;;1324;;6;;66,94;;357
18. WÃƒÂ¤hring;22;26;;624592,33;;6337;;10;;622,08;;1371
19. DÃƒÂ¶bling;51;57;;428935,5;;6216;;7;;300,28;;778
20. Brigittenau;29;30;;217523,31;;1681;;5;;108,37;;927
21. Floridsdorf;97;105;;850070,96;;8735;;13;;651,31;;1063
22. Donaustadt;95;99;;1667319,91;;13460;;40;;1607,66;;1577
23. Liesing;64;73;;564185,5;;9279;;9;;408,59;;753
Quelle: Stadt Wien Wiener StadtgÃƒÂ¤rten.;;;;;;;;;;;;
* Zum Stichtag: 10.04.2020.
** Der Prater wurde als eine Anlage gezÃƒÂ¤hlt.
*** Park- und GrÃƒÂ¼nanlagen.
**** Bepflanzte Blumenbeete bzw. PflanzgefÃƒÂ¤ÃƒÅ¸e in stÃƒÂ¤dtischen Parkanlagen, die mehrmals im Jahr umgepflanzt werden.;;;;;;;;;;;;
