Unselbstständige Beschäftigung und geringfügige Beschäftigung in Wien nach Wirtschaftstätigkeiten und Geschlecht 2017;;;;
Abschnitt
ausgewählte Abteilung (ÖNACE 2008);Unselbständige Beschäftigungsverhältnisse;;;
;insgesamt;Anteil * in %;Geschlecht;
;;;Männer;Frauen
Unselbstständige Beschäftigung insgesamt;828940;100;423204;405736
Land- und Forstwirtschaft; Fischerei;967;0,116655005187348;582;385
Bergbau und Gewinnung von Steinen und Erden;227;2,73843704007528E-02;160;67
Herstellung von Waren;50763;6,12384491036746;35832;14931
Herstellung von Nahrungs- und Futtermitteln;7436;0,897049243612324;4313;3123
Herstellung von pharmazeutischen Erzeugnissen;4507;0,543706420247545;2468;2039
Herstellung von Metallerzeugnissen;3285;0,396289236856709;2550;735
Herstellung von elektrischen Ausrüstungen;7916;0,954954520230656;6017;1899
Reparatur und Installation von Maschinen und Ausrüstungen;5128;0,618621371872512;4238;890
Rest;22491;2,71322411754771;16246;6245
Energieversorgung;6292;0,759041667671967;4799;1493
Wasserversorgung; Abwasser- und Abfallentsorgung;1157;0,139575843848771;884;273
Bau;46616;5,62356744758366;41622;4994
Handel; Instandhaltung und Reparatur von Kraftfahrzeugen;108383;13,0748908244264;51179;57204
Handel mit Kraftfahrzeugen; Instandhaltung und Reparatur von Kraftfahrzeugen;9944;1,19960431394311;8127;1817
Großhandel (ohne Handel mit Kraftfahrzeugen);41106;4,95886312640239;23745;17361
Einzelhandel (ohne Handel mit Kraftfahrzeugen);57333;6,91642338408087;19307;38026
Verkehr und Lagerei;40975;4,94305981132531;31856;9119
Beherbergung und Gastronomie;46900;5,65782806958284;26206;20694
Beherbergung;10798;1,30262745192656;5165;5633
Gastronomie;36102;4,35520061765628;21041;15061
Information und Kommunikation;49543;5,97666899896253;32866;16677
Telekommunikation;6710;0,809467512727097;4418;2292
Erbringung von Dienstleistungen der Informationstechnologie;21460;2,58884840881125;16078;5382
Informationsdienstleistungen;9053;1,09211764422033;5919;3134
Rest;12320;1,48623543320385;6451;5869
Erbringung von Finanz- und Versicherungsdienstleistungen;41457;5,00120635992955;20462;20995
Erbringung von Finanzdienstleistungen;26523;3,1996284411417;12840;13683
Versicherungen, Rückversicherungen und Pensionskassen (ohne Sozialversicherung);10523;1,26945255386397;5304;5219
Rest;4411;0,532125364923879;2318;2093
Grundstücks- und Wohnungswesen;18739;2,26059787198108;7313;11426
Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;64070;7,72914806861775;29388;34682
Rechts- und Steuerberatung, Wirtschaftsprüfung;16394;1,97770646850194;4487;11907
Verwaltung und Führung von Unternehmen und Betrieben; Unternehmensberatung;17289;2,08567568219654;8874;8415
Architektur- u. Ingenieurbüros; technische, physikalische u. chemische Untersuchung;12500;1,50794991193573;7642;4858
Forschung und Entwicklung;6555;0,790768933819094;3405;3150
Werbung und Marktforschung;8813;1,06316500591116;3906;4907
Rest;2519;0,303882066253287;1074;1445
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;63140;7,61695659516974;34107;29033
Vermittlung und Überlassung von Arbeitskräften;19934;2,40475788356214;13561;6373
Gebäudebetreuung; Garten- und Landschaftsbau;25529;3,07971626414457;11022;14507
Erbringung von wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a.n.g.**;8133;0,98113253070186;3805;4328
Rest;9544;1,15134991676116;5719;3825
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;133339;16,0854826646078;52814;80525
Erziehung und Unterricht;41904;5,05513064878037;17454;24450
Gesundheits- und Sozialwesen;60222;7,26494076772746;16528;43694
Kunst, Unterhaltung und Erholung;13998;1,6886626293821;7527;6471
Erbringung von sonstigen Dienstleistungen;25375;3,06113832122952;9538;15837
Interessenvertretungen sowie kirchliche und sonstige religiöse Vereinigungen
(ohne Sozialwesen und Sport);16608;2,00352257099428;6482;10126
Rest;8767;1,05761575023524;3056;5711
Private Haushalte;876;0,105677129828456;174;702
Exterritoriale Organisationen und Körperschaften;758;9,14420826597824E-02;336;422
Wirtschaftsklasse unbekannt;675;8,14292952445292E-02;342;333
PräsenzdienerInnen;507;0,061162448428113;501;6
Kinderbetreuungs- und Karenzgeld-BezieherInnen;12057;1,45450816705672;734;11323
