Finanzgebarung der Stadt Wien nach Bereichen seit 2013;;;;;;;;;;;;;;;;;;;;;;;
Bereich;Berichtsjahr (1);;;;;;;;;;;;;;;;;;;;;;
;2013;;2014;;2015;;2016;;2017;;2018;;2019;;;2020;;2021;;2022;;2023;
;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;;Einzahlungen;Auszahlungen;Einzahlungen;Auszahlungen;Einzahlungen;Auszahlungen;Einzahlungen;Auszahlungen
;Mio. EUR;;;;;;;;;;;;;;;;;;;;;;
Insgesamt;12471,10257557;12471,102574830002;12344,0111871;12344,0111871;13080,48089543;13080,480895429999;13381,5236682;13381,5236682;14693,3424095;14693,3424095;13996,35109727;13996,35109727;14212,72526524;14212,72526524;;15049,629298979999;14856,512759920002;16285,38821175;16200,592286380002;19979,5;19914,3;18681,50800461;18861,852091609995
Vertretungskörper und allgemeine Verwaltung;1437,51964357;2337,41969886;1463,5393084;2378,95209273;1513,2715737;2406,40724253;1490,7519398900001;2435,65334387;1490,46511043;2371,9091500900004;1442,37940734;2360,3485047;1590,3820844000002;2547,9828232;;1603,77625446;2620,88587358;1603,12763654;2665,73646802;1620,6;2815,5;1733,08217968;2993,83153981
Öffentliche Ordnung und Sicherheit;11,90528464;163,2673134;12,08271247;173,07753209;11,63973775;183,51115747999998;14,12270903;181,80066411;12,50891746;186,70722673;10,80106049;206,02128803;11,49542575;186,5301115;;9,80795949;190,50237622;11,29493039;196,15200228;12,3;204,5;12,78783123;221,22744565
Unterricht, Erziehung, Sport und Wissenschaft;934,36927912;2006,14498346;982,63923141;2121,4398057;993,89519775;2269,7721771399997;1042,9897461599999;2322,5978905399998;1096,62203705;2437,0761138499997;1135,47457304;2475,78513791;1171,42621869;2608,69031907;;1161,43971794;2662,77716856;1205,80172975;2791,48339756;1298,8;3010,6;1441,15176158;3401,94740369
Kunst, Kultur und Kultus;15,67351933;280,58518897;15,50687977;292,99754067;16,023742849999998;298,21657023;15,681283619999999;292,59904544;16,81049706;317,45597306999997;21,77348731;306,15155277;19,817919019999998;334,27069432;;13,6093947;359,68079997;14,12907228;358,15622219;14,3;365,9;13,37449575;392,19932182
Soziale Wohlfahrt und Wohnbauförderung;468,00244219;2260,83597835;490,262634;2405,71851636;446,66972893;2444,26893612;405,64111197000005;2665,43415694;373,40951933;2747,74502238;373,45196722;2831,98084161;385,02714907999996;2855,5058146399997;;606,765842;3205,1315528;446,98749488;3072,39031887;658;3582,9;550,0352092;4176,40686069
Gesundheit;23,93130528;1546,76124955;36,16895349;2156,72676763;27,26081718;2297,74847838;29,11930866;2337,6448676799996;25,00217065;2444,5092561799997;26,96405393;2361,08433948;30,65155903;2529,0723456700002;;27,13985086;2767,43436648;31,21265743;3776,25687794;49,3;3976,7;29,56605054;3632,992102
Straßen, Wasserbau, Verkehr;35,09044092;984,12838547;63,81471551;938,87881756;46,262541479999996;1042,91635795;74,34678868;1032,39502662;126,49037428;1053,89049084;87,80429779;978,95432701;164,27772455000002;1100,32799286;;87,83743697;937,93789551;201,02044002;1276,90347561;101,8;1392,9;126,46965924;1732,41925287
Wirtschaftsförderung;72,37581009;110,091155;43,93992089;94,22068901;21,31295244;107,00842388;26,67094017;89,67686019;20,01451788;93,43563316;44,09885966;82,63823984;250,45895861000002;110,80354236;;16,70332044;160,81801706;31,72493894;142,69912522;26,8;103,5;29,68862059;109,35186814
Dienstleistungen;1467,61492791;2187,78166824;719,67136919;823,00388632;727,55188808;852,6749808300001;716,50041439;814,67927174;744,16876722;824,1220035499999;778,3637341;837,96925042;767,6736819700001;822,25430222;;765,3354673099999;852,2963925;771,13842172;873,9504642;847;895,5;874,87905222;995,83379092
Finanzwirtschaft;8004,61992252;594,08695353;8516,38546197;958,99553903;9276,59271527;1177,9565708900002;9565,699425629999;1209,04254107;10787,85049814;2216,49153965;10075,23965639;1555,4176155;9821,51454414;1117,2873194000001;;10757,21405481;1099,04831724;11968,9508898;1046,86393449;15350,5;3566,1;13870,47314458;1205,64250602
Quelle: Rechnungsabschluss der Stadt Wien.;;;;;;;;;;;;;;;;;;;;;;;
(1) Aufgrund der Umstellung auf einen Ergebnis- und einen Finanzierungshaushalt handelt es sich ab 2020 um Ein- bzw. Auszahlungen statt um Ein- und Ausgaben.;;;;;;;;;;;;;;;;;;;;;;;
