Personalaufwand der Stadt Wien seit 1998;;;
Jahr;Insgesamt;Personalaufwand;
;;Pensionen;Aktivbezüge
;;;
;;;
;Mio. EUR;;
1998;2988,2441924354844;595,7499666947667;2392,4942257407174
1999;3518,776515674077;737,1479102156203;2781,6286054584566
2000;3989,5093993830073;889,5411065071256;3099,9682928758816
2001;4063,3351801094454;913,7685009367528;3149,5666791726926
2002;3055,7355532700003;950,63730186;2105,09825141
2003;3124,7608127800004;989,56932824;2135,19148454
2004;3125,96275932;1017,0004052999999;2108,96235402
2005;3192,49813365;1033,845366;2158,65276765
2006;3275,0677681899997;1058,08331463;2216,98445356
2007;3357,65392504;1097,4492049799999;2260,20472006
2008;3491,11530486;1135,15191399;2355,9633908700002
2009;3603,50463598;1181,69090348;2421,8137325
2010;3685,1787786799996;1229,618237;2455,56054168
2011;3717,69999987;1238,40737764;2479,29262223
2012;3808,64587558;1268,7293414;2539,91653418
2013;3888,86968504;1297,48411577;2591,38770119
2014;3979,55966695;1340,9893585399998;2638,5703084100005
2015;4070,49210752;1362,23671053;2708,25539699
2016;4194,02496017;1399,81796085;2794,2069993200003
2017;4241,57112295;1440,86131443;2800,70980852
2018;4335,25219185;1475,05896693;2860,19322492
2019;4486,7;1527,8;2958,90344929
2020;4623,850446570001;1576,04259321;3047,8078533600005
2021;4781,372897740001;1624,99967676;3156,37322098
2022;4958,5;1686,9;3271,6
2023;5358,79245418;1813,05140795;3545,74104623
Quelle: Rechnungsabschluss der Stadt Wien.;;;
