Arbeitsunfälle und Berufskrankheiten in Wien nach Wirtschaftstätigkeiten und Geschlecht 2023;;;;;;;;
Wirtschaftstätigkeit (ÖNACE 2008);Arbeitsunfälle (inkl. Wegunfälle);;;;Berufskrankheiten;;;
;insgesamt;Geschlecht;;"darunter
tödlich";insgesamt;Geschlecht;;darunter tödlich
;;Männer;Frauen;;;Männer;Frauen;
Wien;17146;10741;6424;15;383;118;269;9
Land- und Forstwirtschaft, Fischerei;16;11;5;–;1;1;–;1
Bergbau und Gewinnung von Steinen und Erden;–;–;–;–;–;–;–;–
Herstellung von Waren;1084;850;234;2;18;14;4;2
Energieversorgung;76;62;14;–;–;–;–;–
"Wasserversorgung, Abwasser- und 
Abfallentsorgung und Beseitigung 
von Umweltverschmutzungen";60;58;2;–;–;–;–;–
Bau;2524;2475;49;3;26;26;–;3
"Handel, Instandhaltung und 
Reparatur von Kraftfahrzeugen";2504;1388;1116;2;8;8;–;1
Verkehr und Lagerei;969;864;105;–;1;1;–;1
Beherbergung und Gastronomie;1582;929;653;–;–;3;–;0
Information und Kommunikation;458;326;132;2;–;–;–;–
"Erbringung von Finanz- und 
Versicherungs-Dienstleistungen";230;105;125;1;–;–;–;–
Grundstücks- und Wohnungswesen;178;103;75;–;–;–;–;–
"Erbringung von freiberuflichen, wissenschaftlichen
und technischen Dienstleistungen";587;293;294;1;4;3;1;0
"Erbringung von sonstigen 
wirtschaftlichen Dienstleistungen";2064;1393;671;4;7;5;2;1
"Öffentliche Verwaltung, Verteidigung, 
Sozialversicherung";1242;417;825;–;47;6;41;–
Erziehung und Unterricht;580;230;350;–;30;1;29;–
Gesundheits- und Sozialwesen;2112;697;1415;–;236;49;187;–
Kunst, Unterhaltung und Erholung;550;377;173;–;–;–;1;–
Erbringung von sonstigen Dienstleistungen;325;151;174;–;5;1;4;–
Private Haushalte mit Hauspersonal, Herstellung von Waren und Erbringung von Dienstleistungen durch private Haushalte für den Eigenbedarf ohne ausgeprägtem Schwerpunkt;5;1;4;–;–;–;–;–
Exterritoriale Organisationen und Körperschaften;–;;;–;–;–;–;–
Kein Wert vorhanden/nicht relevant;–;11;8;–;–;–;–;–
Quelle: Allgemeine Unfallversicherungsanstalt.;;;;;;;;
Anmerkung: Vorläufige Zahlen. Ohne selbstständig Erwerbstätige und ohne sonstige im Schadensfall geschützte Personen. Betriebsort ist Wien.;;;;;;;;
