Lohnsteuerpflichtige Einkommen nach Gemeindebezirken 2016 – Männer;;;;;;
Gemeindebezirk;Durchschnittlicher Jahresbezug
pro Arbeitnehmer;;Index des
durchschnittlichen
Nettobezuges pro
Arbeitnehmer;Durchschnittlicher Jahresbezug
pro Pensionist;;Index des
durchschnittlichen
Nettobezuges
pro Pensionist
;brutto;netto;;brutto;netto;
;EUR;;;EUR;;
Wien;35908;24476;100;30225;23793;100
1. Innere Stadt;72366;44494;181,8;46038;33821;142,1
2. Leopoldstadt;33696;23053;94,2;26334;21162;88,9
3. Landstraße;40995;27273;111,4;31538;24533;103,1
4. Wieden;42953;28089;114,8;35181;26942;113,2
5. Margareten;30328;21035;85,9;25637;20756;87,2
6. Mariahilf;38723;25928;105,9;29652;23478;98,7
7. Neubau;41255;27280;111,5;31720;24632;103,5
8. Josefstadt;42350;27806;113,6;37099;28207;118,6
9. Alsergrund;40313;26709;109,1;35064;26773;112,5
10. Favoriten;28846;20383;83,3;26443;21360;89,8
11. Simmering;31726;22312;91,2;26568;21422;90
12. Meidling;30243;21158;86,4;27258;21885;92
13. Hietzing;54277;35210;143,9;41607;31111;130,8
14. Penzing;38560;26185;107;31707;24793;104,2
15. Rudolfsheim-Fünfhaus;25737;18326;74,9;23504;19327;81,2
16. Ottakring;29876;20909;85,4;26555;21384;89,9
17. Hernals;33529;22878;93,5;30819;24169;101,6
18. Währing;43599;28781;117,6;38293;29005;121,9
19. Döbling;48842;31756;129,7;39341;29595;124,4
20. Brigittenau;27574;19534;79,8;25024;20373;85,6
21. Floridsdorf;35770;24649;100,7;29085;23134;97,2
22. Donaustadt;40291;27406;112;29816;23684;99,5
23. Liesing;42820;28796;117,6;34186;26483;111,3
Quelle: Statistik Austria – Lohnsteuerstatistik.;;;;;;
