Lohnsteuerpflichtige Einkommen nach Gemeindebezirken 2016 – insgesamt;;;;;;
Gemeindebezirk;Durchschnittlicher Jahresbezug
pro ArbeitnehmerIn;;Index des
durchschnittlichen
Nettobezuges pro
ArbeitnehmerIn;Durchschnittlicher Jahresbezug
pro PensionistIn;;Index des
durchschnittlichen
Nettobezuges
pro PensionistIn
;brutto;netto;;brutto;netto;
;EUR;;;EUR;;
Wien;31930;22173;100;25817;20900;100
1. Innere Stadt;54483;34748;156,7;36422;27794;133
2. Leopoldstadt;30443;21177;95,5;23406;19252;92,1
3. Landstraße;35715;24267;109,4;26521;21299;101,9
4. Wieden;36937;24719;111,5;29809;23526;112,6
5. Margareten;28151;19794;89,3;23013;19010;91
6. Mariahilf;33936;23150;104,4;26276;21254;101,7
7. Neubau;36086;24327;109,7;27046;21651;103,6
8. Josefstadt;36587;24523;110,6;31490;24673;118,1
9. Alsergrund;35085;23720;107;29361;23141;110,7
10. Favoriten;26559;19047;85,9;23142;19142;91,6
11. Simmering;28523;20374;91,9;22600;18756;89,7
12. Meidling;27859;19779;89,2;23878;19626;93,9
13. Hietzing;44214;29402;132,6;33499;25934;124,1
14. Penzing;34018;23520;106,1;27294;21913;104,8
15. Rudolfsheim-Fünfhaus;24316;17528;79,1;21195;17791;85,1
16. Ottakring;27767;19702;88,9;23691;19482;93,2
17. Hernals;30058;20935;94,4;26567;21370;102,2
18. Währing;37288;25137;113,4;31374;24552;117,5
19. Döbling;39850;26607;120;31764;24784;118,6
20. Brigittenau;25814;18515;83,5;22193;18465;88,3
21. Floridsdorf;31823;22330;100,7;24782;20264;97
22. Donaustadt;34902;24213;109,2;25098;20509;98,1
23. Liesing;36760;25257;113,9;28061;22461;107,5
Quelle: Statistik Austria – Lohnsteuerstatistik.;;;;;;
