Lehrpersonal in Wien nach Schultypen und Geschlecht  2018/19;;;;;;;
Schultyp;Insgesamt;Lehrpersonal *;;;;;
;;Geschlecht;;;;;Tabelle 1.9.1.1
;;MÃƒÂ¤nner;Frauen;MÃƒÂ¤nner;Frauen;;
;;absolut;;%;;;
Lehrpersonal insgesamt *;27233,0000000002;7280,99999999999;19952,0000000002;26,7359453604081;73,2640546395919;;
Allgemein bildende Pflichtschulen;13729;2171;11558;15,813242042392;84,186757957608;;
Volksschulen;7141,27929666121;581,95060892173;6559,32868773947;8,14910865051605;91,8508913494839;;
Neue Mittelschulen / Hauptschulen **;4090,4454085187;1145,64147385182;2944,80393466688;28,0077438869108;71,9922561130892;;
Sonderschulen;2228,27529482014;330,407917226452;1897,86737759369;14,8279666338589;85,1720333661411;;
Polytechnische Schulen;269;113;156;42,0074349442379;57,9925650557621;;
Allgemein bildende hÃƒÂ¶here Schulen;7164;2336;4828;32,607481853713;67,392518146287;;
Sonstige allgemein bildende (Statut-)Schulen;815;259;556;31,7791411042945;68,2208588957055;;
Berufsschulen ***;883;497;386;56,2853907134768;43,7146092865232;;
Berufsbildende mittlere und hÃƒÂ¶here Schulen;4317,22183288409;1884,68399901985;2432,53783386425;43,655018712828;56,344981287172;;
Technische und gewerbliche Schulen;1898,20510018214;1228,15990437158;670,045195810561;64,7011170844359;35,2988829155641;;
Schulen des Ausbildungsbereichs Fremdenverkehr;271,751111111111;103,989898989899;167,761212121212;38,266595696597;61,733404303403;;
KaufmÃƒÂ¤nnische Schulen;1050,44689143211;315,292925817095;735,153965615011;30,0151229337493;69,9848770662507;;
Wirtschaftsberufliche Schulen;519,688373015875;112,546626984127;407,141746031748;21,6565605135617;78,3434394864383;;
Sozialberufliche Schulen;39,8303571428571;6,29464285714286;33,5357142857143;15,803631472764;84,1963685272361;;
Land- und forstwirtschaftliche Schulen ***;34;17;17;50;50;;
PÃƒÂ¤dagogische mittlere und hÃƒÂ¶here Schulen;503,299999999999;101,4;401,899999999999;20,1470296046096;79,8529703953904;;
Sonstige Berufsbildende (Statut-)Schulen;324,778167115904;133,316000980152;191,462166135752;41,0483260509859;58,9516739490141;;
Quelle: Statistik Austria Ã¢â‚¬â€œ Schulstatistik.;;;;;;;
* Ohne Lehrpersonen an Bundessportakademien und Schulen und Akademien des Gesundheitswesens. Inklusive karenzierte LehrkrÃƒÂ¤fte. 
** Das beim Schultyp Neue Mittelschulen eingesetzte Lehrpersonal wird - je nachdem, bei welchem Schultyp die Neue Mittelschule gefÃƒÂ¼hrt wird - bei Hauptschulen bzw. AHS ausgewiesen.
*** Lehrpersonen an land- und forstwirtschaftlichen Berufsschulen werden bei land- und forstwirtschaftlichen Schulen ausgewiesen.;;;;;;;
