Angezeigte strafbare Handlungen in Wien seit 2003;;;;;;;;;;;;;;;;;;;;
"Deliktgruppe
Strafbare Handlung";Berichtsjahr;;;;;;;;;;;;;;;;;;;
Schwerer Diebstahl – Verbrechen und Vergehen § 128;3562;2725;1782;1798;1712;1732;1541;1354;1266;1259;1342;1354;1260,0;1057;839;772;828;597;533;770
Diebstahl durch Einbruch oder mit Waffen § 129;62345;68652;57996;51627;50445;51228;54932;45357;39355;39007;44215;39472;35873,0;36465;31660;25229;24020;22121;19685;23484
Gewerbsmäßiger Diebstahl und Bandendiebstahl § 130;2773;3542;2747;2663;2201;2254;2220;2248;2135;2338;2515;2195;1965,0;1548;1094;992;961;671;485;601
Veruntreuung – Verbrechen und Vergehen § 133;639;717;644;1351;730;833;699;743;837;815;837;768;668,0;682;691;904;737;606;622;731
Unterschlagung – Verbrechen und Vergehen § 134;798;629;561;589;634;741;702;652;727;782;808;813;835,0;875;846;881;994;903;998;1377
Unbefugter Gebrauch von Fahrzeugen § 136;303;236;202;210;262;289;220;182;193;170;219;189;156,0;142;126;98;137;246;153;176
Raub § 142;2047;2240;2235;2420;2289;2313;2004;2010;1837;1722;1650;1491;1481,0;1166;955;836;930;736;751;893
Schwerer Raub § 143;966;1002;1144;1235;1167;990;1015;820;788;843;718;596;561,0;494;380;330;344;246;248;351
Betrug § 146;3776;5950;4477;4050;5474;4812;11657;5482;5464;7280;9317;6349;6728,0;8496;8710;9601;12160;11594;11559;12861
Schwerer Betrug – Verbrechen und Vergehen § 147;2046;2330;2466;2271;1912;1368;1782;1678;2099;2092;1751;1471;1838,0;1558;1784;2152;2230;1936;2047;2028
Betrügerische Krida § 156;61;101;79;67;58;59;29;66;82;70;87;60;75,0;115;128;108;88;62;58;74
Fahrlässige Krida § 159;151;214;161;118;100;60;47;68;54;32;38;40;32,0;83;99;52;61;29;38;40
Hehlerei – Verbrechen und Vergehen § 164;408;365;330;249;290;235;232;261;316;249;278;297;277,0;291;350;251;258;261;339;265
Sonstige Delikte gegen fremdes Vermögen;7350;7758;7416;6713;6293;5506;5126;5188;5694;6433;5602;5200;5547,0;4836;5015;4677;8193;10233;11395;15680
Delikte gegen die Sittlichkeit;985;1130;1159;1188;1219;1359;1189;1199;1383;1378;1302;1136;1224,0;1491;1396;1650;1589;1566;1648;1803
Vergewaltigung § 201;198;255;266;263;267;270;302;334;374;337;332;317;316,0;343;275;305;323;318;342;365
Geschlechtliche Nötigung – Verbrechen und Vergehen § 202;140;132;92;106;94;71;89;100;113;86;82;62;72,0;76;75;51;74;63;68;74
Schändung – Verbrechen und Vergehen § 205;22;21;16;31;39;32;23;32;29;42;21;35;31,0;57;40;47;43;54;56;73
Pornographische Darstellung mit Unmündigen § 207a;71;72;122;91;163;373;152;80;154;135;99;58;78,0;112;126;289;344;402;383;415
