Einkommensteuer nach Gemeindebezirken 2019 – Männer;;;;
Gemeindebezirk;Veranlagungsfälle;Einkünfte;"Zu versteuerndes
Einkommen";"Festgesetzte
Einkommensteuer"
;;Mio, EUR;;
Wien;74250;4989,28369883;4922,45387481;1813,27656464
1, Innere Stadt;2188;228,93385941;225,93249696;102,35699993
2, Leopoldstadt;4330;248,99171086;245,59300381;81,41315048
3, Landstraße;4606;327,62779023;323,11016083;123,24384634
4, Wieden;2331;178,04319035;175,61544826;65,97880372
5, Margareten;2464;126,56262316;125,01523406999999;39,22214803
6, Mariahilf;2013;129,92129931;128,21320719;48,88717094
7, Neubau;2346;158,30766928;156,53661316999998;56,20675595
8, Josefstadt;1831;146,51342061000003;144,88985535;57,730923909999994
9, Alsergrund;2854;206,30184446;203,40833065;76,55776786
10, Favoriten;4144;196,32160428999998;193,45944419;57,697875659999994
11, Simmering;1924;88,02352334999999;86,81852208;24,76452937
12, Meidling;2646;135,99564309000002;133,92345188;42,252599579999995
13, Hietzing;3743;348,94297442000004;343,61820457;152,31116744
14, Penzing;3964;256,23660552;252,79832384;86,60302772
15, Rudolfsheim-Fünfhaus;2295;100,50670006;99,28168201000001;28,95785464
16, Ottakring;3356;194,22169066;191,80292378000001;64,91954532
17, Hernals;2563;169,48824705;167,38307631;59,91237463
18, Währing;3533;296,45910376999996;292,40832485000004;113,74256955
19, Döbling;4761;478,30869581999997;472,27767557;209,96496572
20, Brigittenau;1967;91,90919061;90,62926954000001;26,3849092
21, Floridsdorf;4165;240,86595975999998;238,01473363;78,49255387000001
22, Donaustadt;5763;325,85363907;321,42652598;104,65840527
23, Liesing;4463;314,94671369;310,29736629;111,01661951000001
Quelle: Statistik Austria – Einkommensteuerstatistik,;;;;
Anmerkung: Nur Steuerfälle erfasst, Rundungsdifferenzen nicht ausgeglichen,;;;;
;;;;
