Bewohnte Wohnungen nach Gemeindebezirken 2023;;;;;;;;;;
Gemeindebezirk;Insgesamt;Bewohnte Wohnungen zum Stichtag 1. 1. – davon mit … Personen;;;;;;;Gemeldete Hauptwohnsitze (3);
;;1;2,0;3,0;4,0;5,0;6 und mehr;;insgesamt;je Wohnung
;;;;;;;Nw (1);Np (2);abs.;
Wien;975976;449191;270336,0;119149,0;83894,0;32740,0;20666;149200;1995786;2,0449129896636804
1. Innere Stadt;8812;4451;2386,0;1024,0;554,0;226,0;171;1389;17030;1,9325919201089423
2. Leopoldstadt;54806;26554;14564,0;6438,0;4297,0;1721,0;1232;8778;109567;1,9991789220158376
3. Landstraße;50823;25194;14098,0;5885,0;3657,0;1235,0;754;5753;97601;1,9204100505676565
4. Wieden;17391;8511;4794,0;2103,0;1242,0;471,0;270;1857;33588;1,931343798516474
5. Margareten;29446;14973;8008,0;3227,0;1944,0;772,0;522;3639;55945;1,899918494871969
6. Mariahilf;17018;8775;4767,0;1872,0;1040,0;353,0;211;1659;31509;1,8515101657068986
7. Neubau;17744;9313;4971,0;1879,0;1021,0;360,0;200;1370;32146;1,8116546438232641
8. Josefstadt;13252;6902;3620,0;1478,0;863,0;233,0;156;1872;25065;1,8914126169634773
9. Alsergrund;23055;11974;6427,0;2424,0;1486,0;494,0;250;2127;42641;1,8495337237041856
10. Favoriten;101374;43999;27524,0;12668,0;9677,0;4466,0;3040;21280;219369;2,1639572276915184
11. Simmering;49666;20607;13801,0;6544,0;5204,0;2221,0;1289;9486;109248;2,1996536866266663
12. Meidling;49643;23425;13328,0;5923,0;4040,0;1765,0;1162;8018;100853;2,0315653767902826
13. Hietzing;27733;12838;7715,0;3431,0;2439,0;852,0;458;3457;56034;2,0204810153968196
14. Penzing;48499;22591;13692,0;5910,0;4079,0;1421,0;806;6260;97386;2,008000164951855
15. Rudolfsheim-Fünfhaus;39560;19824;10556,0;4434,0;2764,0;1200,0;782;5805;77099;1,9489130434782609
16. Ottakring;51628;24942;13979,0;5917,0;4024,0;1587,0;1179;8601;103283;2,000522972030681
17. Hernals;28231;13389;7740,0;3382,0;2308,0;904,0;508;3679;56446;1,9994332471396692
18. Währing;26834;13388;6946,0;3221,0;2186,0;706,0;387;2876;52093;1,94130580606693
19. Döbling;38242;18631;10201,0;4379,0;3112,0;1177,0;742;5964;76467;1,999555462580409
20. Brigittenau;43388;21396;11409,0;4680,0;3307,0;1541,0;1055;7170;86357;1,9903429519682863
21. Floridsdorf;86362;36669;24615,0;11259,0;8340,0;3316,0;2163;14761;184377;2,1349320302911003
22. Donaustadt;97533;38287;29013,0;13793,0;10556,0;3703,0;2181;14955;213386;2,187833861359745
23. Liesing;54936;22558;16182,0;7278,0;5754,0;2016,0;1148;8444;118296;2,1533420707732636
Quelle: Stadt Wien Wirtschaft, Arbeit und Statistik – Wiener Bevölkerungsregister.;;;;;;;;;;
"(1) Nw = Anzahl der Wohnungen mit 6 und mehr gemeldeten Personen.
(2) Np = Gesamtzahl der Personen in Wohnungen mit 6 und mehr gemeldeten Personen.
(3) die Anzahl der gemeldeten Hauptwohnsitze ist unbereinigt und weicht daher vom offiziellen Bevölkerungsstand (siehe Kapitel 5) leicht ab.";;;;;;;;;;
