Lohnsteuerpflichtige Personen mit Wiener Wohnsitz nach Bruttojahreseinkommen und Geschlecht 2021;;;;;;
"Stufe der
Bruttobezüge in EUR";Arbeitnehmerinnen und Arbeitnehmer;;;Pensionistinnen und Pensionisten;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen
Insgesamt;933086;491672;441414;394860;164238;230622
Bis 2.000;66257;34303;31954;5686;2454;3232
2.000 bis unter 4.000;43866;21758;22108;6252;2751;3501
4.000 bis unter 6.000;36757;17900;18857;8480;2997;5483
6.000 bis unter 8.000;33732;16088;17644;9590;2720;6870
8.000 bis unter 10.000;26036;12545;13491;11334;3358;7976
10.000 bis unter 12.000;26506;12994;13512;13052;3937;9115
12.000 bis unter 15.000;38226;18498;19728;46246;14956;31290
15.000 bis unter 18.000;37632;17133;20499;32511;10655;21856
18.000 bis unter 20.000;25058;11079;13979;20373;7116;13257
20.000 bis unter 25.000;74102;33384;40718;45543;17479;28064
25.000 bis unter 30.000;73509;36739;36770;41307;16210;25097
30.000 bis unter 35.000;73594;39652;33942;36461;16153;20308
35.000 bis unter 40.000;68088;38149;29939;31601;16129;15472
40.000 bis unter 50.000;100364;54646;45718;42486;22871;19615
50.000 bis unter 70.000;107121;59096;48025;28593;14353;14240
70.000 bis unter 100.000;61304;38553;22751;10861;6822;4039
100.000 bis unter 150.000;28110;19346;8764;3484;2488;996
150.000 bis unter 200.000;7229;5331;1898;569;431;138
200.000 und mehr;5595;4478;1117;431;358;73
Quelle: Statistik Austria – Lohnsteuerstatistik.;;;;;;
;;;;;;
;;;;;;
