Einkommensteuer nach Gemeindebezirken 2020 – Männer;;;;
Gemeindebezirk;Veranlagungsfälle;Einkünfte;"Zu versteuerndes
Einkommen";"Festgesetzte
Einkommensteuer"
;;Mio. EUR;;
Wien;70068;4800,80322728;4737,8239604;1772,88905945
1. Innere Stadt;1883;199,47762465;196,44685417;87,28971985
2. Leopoldstadt;4063;243,14037622;240,17253121000002;79,92835645000001
3. Landstraße;4381;313,68083822000006;309,9346755;112,8674574
4. Wieden;2183;175,82753139;173,0262725;65,43526948
5. Margareten;2248;119,96977005;118,34944;39,7015061
6. Mariahilf;1851;119,67988064000001;118,21501423999999;41,76381374
7. Neubau;2196;150,10385563999998;148,25847653;54,6739343
8. Josefstadt;1662;138,51295294;136,75266858;52,25347779
9. Alsergrund;2630;203,13120198;200,61465791999998;74,83405739
10. Favoriten;3978;196,96819974000002;194,29004204;57,21566693
11. Simmering;1813;87,10091356000001;85,76646043000001;24,259239559999997
12. Meidling;2505;131,48496659;129,69535033;40,82381243
13. Hietzing;3525;322,98855294;318,38928033999997;124,38591834
14. Penzing;3840;254,12159491999998;250,61788437;95,87052648999999
15. Rudolfsheim-Fünfhaus;2143;99,19332161;97,93308954999999;28,81933552
16. Ottakring;3126;180,35613722;178,33884497999998;57,82630208
17. Hernals;2365;157,9323525;155,79867313999998;53,94250732
18. Währing;3372;294,73596165;290,86153956;161,55323993000002
19. Döbling;4423;449,97672431;443,87640923000004;195,68420175
20. Brigittenau;1827;89,15933573999999;88,04927551;26,47317343
21. Floridsdorf;4104;234,27355050999998;231,46333676;73,64242286
22. Donaustadt;5627;332,13091935;328,08704971;105,92177422
23. Liesing;4323;306,85666491;302,88613380000004;117,72334609
Quelle: Statistik Austria – Einkommensteuerstatistik.;;;;
Anmerkung: Nur Steuerfälle erfasst. Rundungsdifferenzen nicht ausgeglichen.;;;;
;;;;
