Bewilligte Plätze in elementaren Bildungs- und Betreuungseinrichtungen in Wien seit 2004;;;;;;;;
Jahr;Insgesamt;Bewilligte Plätze – davon in/bei…;;;;;;
;;Kleinkindergruppen;Kindergartengruppen;"Familiengruppen
für 0- bis 6-Jährige";"Familiengruppen
für 3- bis 10-Jährige";Hortgruppen;Kindergruppen;Tageseltern
2004;77065;8997;35945;7546;2406;18920;1706;1545
2005;78053;8973;36099;7886;2628;19291;1747;1429
2006;78583;8579;36500;7675;3307;19218;1923;1381
2007;78633;8182;35512;7924;3410;20115;2145;1345
2008;80969;8767;35979;8393;3728;20431;2327;1344
2009;82985;9195;36742;9350;3538;20347;2530;1283
2010;86432;9775;37839;11111;3383;20278;2846;1200
2011;88946;10371;38455;11761;3260;20417;3718;964
2012;91970;11076;38655;13149;3290;19924;4441;1435
2013;95870;12166;39192;14644;3288;19542;5510;1528
2014;100583;13366;39137;16364;3110;19252;7806;1548
2015;103157;14388;38897;17569;3146;19160;8544;1453
2016;102686;14974;38224;17353;3354;18384;9001;1396
2017;101986;15353;37213;18150;3265;17643;9009;1353
2018;99856;15036;36700;18546;2937;16934;8359;1344
2019;100660;15388;37378;19262;2857;16133;8306;1336
2020;104389;15826;37929;23558;2579;15422;7840;1235
2021;104283;16322;38522;24354;2439;14074;7603;969
2022;104417;16534;38595;24474;2425;13903;7533;953
Quelle: Wiener Kinder- und Jugendhilfe.;;;;;;;;
Anmerkung: Inklusive Integrations- und heilpädagogischen Gruppen.;;;;;;;;
