Lehrpersonal in Wien nach Schultypen und Geschlecht 2021/22;;;;;
Schultyp;Insgesamt;Lehrpersonal (1);;;
;;Geschlecht;;;
;;Männer;Frauen;Männer;Frauen
;;absolut;;%;
Lehrpersonal insgesamt (1);28199,99999999996;7714,999999999999;20484,99999999996;27,35815602836883;72,64184397163118
Allgemein bildende Pflichtschulen;14672,999999999955;2506,9999999999995;12165,999999999955;17,08580385742525;82,91419614257475
Volksschulen;7784,656877566811;688,7618648018647;7095,895012764947;8,847684305607386;91,15231569439261
Mittelschulen (2);4405,134695304713;1339,2033566433568;3065,931338661356;30,40096272358639;69,5990372764136
Sonderschulen;2189,2084271284293;356,0347785547781;1833,173648573651;16,26317412918909;83,7368258708109
Polytechnische Schulen;294;123;171;41,83673469387755;58,16326530612245
Allgemein bildende höhere Schulen;7068;2348;4720;33,220147142048674;66,77985285795133
Sonstige allgemein bildende (Statut-)Schulen;844;268;576;31,753554502369667;68,24644549763033
Berufsschulen (3);869;486;383;55,92635212888377;44,07364787111623
Berufsbildende mittlere und höhere Schulen;4375,533741729969;1966,1048517520205;2409,4288899779485;44,93405759852912;55,06594240147089
Technische und gewerbliche Schulen;1958,3557392686807;1272,8180604133538;685,5376788553269;64,99422116681768;35,00577883318232
Schulen des Ausbildungsbereichs Fremdenverkehr;271,75988142292476;104,02950310559022;167,73037831733453;38,2799339479012;61,7200660520988
Kaufmännische Schulen;1075,5866370699227;342,32115427302966;733,2654827968931;31,826460321743077;68,17353967825693
Wirtschaftsberufliche Schulen;499,16323000018735;121,39327681718954;377,7699531829978;24,319354776421328;75,68064522357868
Sozialberufliche Schulen;30,46825396825399;5,642857142857144;24,825396825396844;18,520448033342007;81,47955196665798
Land- und forstwirtschaftliche Schulen (3);33;13;20;39,39393939393939;60,60606060606061
Pädagogische mittlere und höhere Schulen;507,19999999999925;106,90000000000002;400,2999999999992;21,07649842271297;78,92350157728703
Sonstige Berufsbildende (Statut-)Schulen;370,46625827003265;139,89514824797848;230,57111002205417;37,76191356839008;62,23808643160993
Quelle: Statistik Austria – Schulstatistik.;;;;;
"(1) Ohne Lehrpersonen an Bundessportakademien und Schulen und Akademien des Gesundheitswesens. Inklusive karenzierte Lehrkräfte. 
(2) Lehrpersonen an Mittelschulen an AHS-Standorten werden bei AHS ausgewiesen.
(3) Lehrpersonen an land- und forstwirtschaftlichen Berufsschulen werden bei land- und forstwirtschaftlichen Schulen ausgewiesen.";;;;;
;;;;;
