Schülerinnen und Schüler in Wien nach Schultypen und Geschlecht 2021/22;;;;;
Schultyp;Insgesamt;Schülerinnen und Schüler;;;
;;Geschlecht;;;
;;Schüler;Schülerinnen;Schüler;Schülerinnen
;;absolut;;%;
Schultypen insgesamt;248242;127303;120939;51,281813714037106;48,71818628596289
Allgemein bildende Pflichtschulen insgesamt;114975;61364;53611;53,37160252228745;46,62839747771255
Volksschulen;74938;39020;35918;52,06971096106115;47,93028903893885
Mittelschulen;33739;18422;15317;54,60149974806604;45,39850025193397
Sonderschulen (1);3677;2420;1257;65,81452270872994;34,185477291270054
Polytechnische Schulen;2621;1502;1119;57,30637161388783;42,69362838611217
Allgemein bildende höhere Schulen;64834;30232;34602;46,629854705864204;53,370145294135796
Unterstufe;37571;18361;19210;48,87013920310878;51,12986079689122
Oberstufe (2);27263;11871;15392;43,542530169093645;56,45746983090636
Sonst. allgemein bild. (Statut-)Schulen (3);4855;2555;2300;52,62615859938208;47,37384140061792
Berufsschulen insgesamt;20886;13028;7858;62,37671167289093;37,623288327109066
Gewerbliche und kaufmännische Berufsschulen;20886;13028;7858;62,37671167289093;37,623288327109066
Berufsbildende mittlere Schulen;8027;4463;3564;55,599850504547156;44,400149495452844
Technisch-gewerbliche mittlere Schulen;3512;2742;770;78,0751708428246;21,9248291571754
Kaufmännische mittlere Schulen;2935;1279;1656;43,57751277683135;56,42248722316865
Wirtschaftsberufl. mittlere Schulen;1091;369;722;33,82218148487626;66,17781851512375
Sozialberufliche mittlere Schulen;295;45;250;15,254237288135593;84,7457627118644
Mittl. Schulen für päd. Assistenzberufe;194;28;166;14,432989690721648;85,56701030927834
Sonstige berufsbild. (Statut-)Schulen;1863;683;1180;36,66129898013956;63,338701019860444
Berufsbildende höhere Schulen;29326;13892;15434;47,370933642501534;52,629066357498466
Technisch-gewerbliche höhere Schulen;14739;9759;4980;66,21209037248117;33,78790962751882
Kaufmännische höhere Schulen;8197;2874;5323;35,06160790533122;64,93839209466879
Wirtschaftsberufliche höhere Schulen;2864;751;2113;26,222067039106143;73,77793296089385
Sozialberufliche höhere Schulen;53;6;47;11,320754716981133;88,67924528301887
Land- und forstwirtschaftliche höhere Schulen;190;98;92;51,578947368421055;48,421052631578945
Bildungsanst. für Elementarpädagogik;2777;274;2503;9,866762693554195;90,1332373064458
Bildungsanstalten für Sozialpädagogik;506;130;376;25,691699604743086;74,30830039525692
Bundessportakademien;614;436;178;71,00977198697068;28,990228013029316
Schulen im Gesundheitswesen;2862;650;2212;22,71139063591894;77,28860936408107
Quelle: Statistik Austria – Schulstatistik.;;;;;
"(1) Inkl. Schülerinnen und Schüler, die nach dem Lehrplan der Sonderschule in anderen Schulen unterrichtet werden.
(2) Inkl. Oberstufenrealgymnasien, Aufbau- und Aufbaurealgymnasien und AHS für Berufstätige.
(3) Inkl. Schulen mit ausländischem Lehrplan.";;;;;
;;;;;
