Schülerinnen und Schüler in allgemein bildenden Pflichtschulen nach Gemeindebezirken 2021/22;;;;;
Gemeindebezirk;Insgesamt;Schülerinnen und Schüler in den Schultypen;;;
;;Volksschulen;Mittelschulen;Sonderschulen (1);Polytechn. Schulen
Wien;114975;74938;33739;3677;2621
1. Innere Stadt;859;703;156;–;–
2. Leopoldstadt;6628;4339;2044;245;–
3. Landstraße;5095;3176;1360;263;296
4. Wieden;2236;1631;464;9;132
5. Margareten;1593;1020;511;62;–
6. Mariahilf;1733;1065;568;75;25
7. Neubau;2261;1310;670;–;281
8. Josefstadt;1071;862;209;–;–
9. Alsergrund;1253;1006;246;1;–
10. Favoriten;14328;8732;5082;229;285
11. Simmering;7232;4596;2558;78;–
12. Meidling;4953;3069;1779;105;–
13. Hietzing;2644;1990;501;153;–
14. Penzing;4895;3482;1182;231;–
15. Rudolfsheim-Fünfhaus;4295;2409;1416;195;275
16. Ottakring;4586;2852;1619;115;–
17. Hernals;2582;1748;634;200;–
18. Währing;3980;2701;732;362;185
19. Döbling;3386;2384;850;127;25
20. Brigittenau;5177;2967;1771;176;263
21. Floridsdorf;12299;7730;3896;366;307
22. Donaustadt;13577;9803;3080;426;268
23. Liesing;8312;5363;2411;259;279
Quelle: Statistik Austria – Schulstatistik.;;;;;
(1) Inkl. Schülerinnen und Schüler, die nach dem Lehrplan der Sonderschule in anderen Schulen unterrichtet werden.;;;;;
;;;;;
