Kinder in städtischen elementaren Bildungs- und Betreuungseinrichtungen nach Gemeindebezirken 2021/22;;;;;
Gemeindebezirk;Insgesamt;Kinder – davon in…;;;
;;Kleinkindergruppen;Kindergartengruppen;Hortgruppen;Familiengruppen (1)
Wien;34998;5815;18259;6428;4496
1, Innere Stadt;157;29;72;39;17
2, Leopoldstadt;1809;314;702;379;414
3, Landstraße;1532;251;780;251;250
4, Wieden;365;111;183;–;71
5, Margareten;528;88;358;–;82
6, Mariahilf;346;35;114;144;53
7, Neubau;171;28;88;34;21
8, Josefstadt;335;41;95;157;42
9, Alsergrund;682;102;232;224;124
10, Favoriten;4100;664;2153;690;593
11, Simmering;1895;341;1116;256;182
12, Meidling;1655;239;868;382;166
13, Hietzing;305;45;129;–;131
14, Penzing;1381;303;892;38;148
15, Rudolfsheim-Fünfhaus;947;160;660;74;53
16, Ottakring;1739;226;828;500;185
17, Hernals;805;121;410;274;–
18, Währing;542;81;300;84;77
19, Döbling;1415;125;576;625;89
20, Brigittenau;1564;232;904;344;84
21, Floridsdorf;5006;796;2715;968;527
22, Donaustadt;5281;973;2684;702;922
23, Liesing;2438;510;1400;263;265
Quelle: Stadt Wien Wiener Kindergärten, Berechnung: Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;
(1) Kindergruppen gibt es ausschließlich bei privaten Trägerorganisationen,;;;;;
