Schülerinnen und Schüler in allgemein bildenden Pflichtschulen nach Gemeindebezirken 2020/21;;;;;
Gemeindebezirk;Insgesamt;Schülerinnen und Schüler in den Schultypen;;;
;;Volksschulen;Mittelschulen;Sonderschulen (1);Polytechn, Schulen
Wien;114310;74607;33614;3546;2543
1, Innere Stadt;884;707;177;–;–
2, Leopoldstadt;6604;4244;2121;239;–
3, Landstraße;4958;3074;1329;254;301
4, Wieden;2284;1649;491;10;134
5, Margareten;1690;1088;546;56;–
6, Mariahilf;1726;1085;557;72;12
7, Neubau;2341;1356;740;–;245
8, Josefstadt;1075;852;223;–;–
9, Alsergrund;1211;983;228;–;–
10, Favoriten;14259;8778;4991;207;283
11, Simmering;7039;4492;2483;64;–
12, Meidling;4947;3043;1778;126;–
13, Hietzing;2582;1948;497;137;–
14, Penzing;4970;3539;1201;230;–
15, Rudolfsheim-Fünfhaus;4359;2463;1457;173;266
16, Ottakring;4630;2873;1629;128;–
17, Hernals;2661;1849;634;178;–
18, Währing;4063;2758;742;381;182
19, Döbling;3466;2447;853;141;25
20, Brigittenau;5188;3047;1725;170;246
21, Floridsdorf;12044;7579;3806;363;296
22, Donaustadt;13274;9585;3013;389;287
23, Liesing;8055;5168;2393;228;266
Quelle: Statistik Austria – Schulstatistik,;;;;;
(1) Inkl, Schülerinnen und Schüler, die nach dem Lehrplan der Sonderschule in anderen Schulen unterrichtet werden,;;;;;
