Bevölkerung nach Altersgruppen und Gemeindebezirken 2022 – Männer;;;;;;;;;
Gemeindebezirk;Insgesamt;Bevölkerungsstand zum Stichtag 1, 1, nach Altersgruppen;;;;;;;
;;0–5;6–9;10–19;20–29;30–44;45–59;60–74;75+
Wien;944869;59730;38350;93250;143778;225972;196837;125998;60954
1, Innere Stadt;7637;321;216;513;965;1394;1804;1450;974
2, Leopoldstadt;51740;3187;2064;4967;8723;12968;10517;6438;2876
3, Landstraße;45153;2543;1598;3748;7619;11671;9194;5953;2827
4, Wieden;16051;803;515;1274;2712;4000;3364;2256;1127
5, Margareten;26669;1328;740;2064;4910;7359;5412;3533;1323
6, Mariahilf;15044;676;359;1045;2759;4129;3091;2086;899
7, Neubau;15208;730;412;999;2912;4133;3096;2037;889
8, Josefstadt;11945;532;325;820;2484;3021;2385;1601;777
9, Alsergrund;19767;1002;602;1433;4034;5261;3631;2577;1227
10, Favoriten;106976;7608;4518;11223;16869;25934;21496;13266;6062
11, Simmering;52333;3878;2519;5989;7438;12187;11072;6598;2652
12, Meidling;48366;2938;1807;4910;7742;12037;9945;6225;2762
13, Hietzing;25265;1566;1082;2430;2834;5246;5462;3845;2800
14, Penzing;45256;2717;1851;4340;5830;10285;9922;6719;3592
15, Rudolfsheim-Fünfhaus;38436;2084;1218;3248;7043;10499;7780;4858;1706
16, Ottakring;50905;2949;1774;4740;8195;12628;10756;7004;2859
17, Hernals;27492;1604;1038;2623;4244;6711;5820;3731;1721
18, Währing;23761;1444;937;2145;3575;5813;4929;3055;1863
19, Döbling;34636;1997;1419;3576;4622;7357;7264;4890;3511
20, Brigittenau;42087;2521;1603;4202;7131;10193;8710;5353;2374
21, Floridsdorf;86909;6533;4149;9494;11782;19364;18235;11697;5655
22, Donaustadt;98091;6823;4946;11430;12691;21656;21616;13057;5872
23, Liesing;55142;3946;2658;6037;6664;12126;11336;7769;4606
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
