Bevölkerung nach Altersgruppen und Gemeindebezirken 2022 – Frauen;;;;;;;;;
Gemeindebezirk;Insgesamt;Bevölkerungsstand zum Stichtag 1, 1, nach Altersgruppen;;;;;;;
;;0–5;6–9;10–19;20–29;30–44;45–59;60–74;75+
Wien;986724;56529;35620;88083;142929;219683;201197;146626;96057
1, Innere Stadt;8063;296;205;543;1006;1466;1721;1563;1263
2, Leopoldstadt;52948;3054;1885;4655;8559;12557;10330;7082;4826
3, Landstraße;48591;2553;1398;3629;7996;11642;9564;7179;4630
4, Wieden;16956;821;461;1251;2898;3879;3275;2641;1730
5, Margareten;27062;1255;778;2049;5119;6642;5232;3861;2126
6, Mariahilf;15914;617;370;1026;3149;3796;3091;2417;1448
7, Neubau;16118;672;407;998;3192;4032;3102;2377;1338
8, Josefstadt;12244;471;320;870;2465;2643;2353;1897;1225
9, Alsergrund;21615;896;584;1492;4716;5081;3796;3077;1973
10, Favoriten;105279;6980;4279;10391;14999;22989;20988;15099;9554
11, Simmering;53745;3671;2289;5630;7248;11985;11211;7566;4145
12, Meidling;49543;2881;1702;4608;7288;11115;9977;7381;4591
13, Hietzing;28694;1530;1015;2362;2724;5627;5993;4817;4626
14, Penzing;47733;2542;1625;3946;5773;10248;10190;7958;5451
15, Rudolfsheim-Fünfhaus;37199;1881;1167;3015;6602;9026;7332;5246;2930
16, Ottakring;50733;2747;1688;4399;7566;11414;10577;7738;4604
17, Hernals;28522;1585;961;2394;4254;6681;5701;4257;2689
18, Währing;27104;1438;896;2212;4123;6132;5446;3893;2964
19, Döbling;39237;1927;1397;3313;4832;7771;7948;6170;5879
20, Brigittenau;42384;2349;1557;3928;6747;9335;8360;6198;3910
21, Floridsdorf;91276;5923;3697;9142;11774;19491;19091;13515;8643
22, Donaustadt;105732;6530;4475;10678;13154;23450;23552;15234;8659
23, Liesing;60032;3910;2464;5552;6745;12681;12367;9460;6853
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
