Binnenwegzüge in die Bundesländer nach Gemeindebezirken seit 2013;;;;;;;;;
Gemeindebezirk;Berichtsjahr;;;;;;;;
;2013;2014,0;2015,0;2016,0;2017,0;2018,0;2019;2020,0;2021,0
Wien;31951;32741,0;35932,0;37627,0;37437,0;37924,0;37515;37600,0;39293,0
1, Innere Stadt;232;225,0;229,0;246,0;229,0;242,0;266;233,0;330,0
2, Leopoldstadt;1481;1674,0;1789,0;1928,0;1988,0;1912,0;1961;1867,0;1932,0
3, Landstraße;1538;1570,0;2336,0;1853,0;1810,0;1780,0;1793;1942,0;2010,0
4, Wieden;570;525,0;553,0;645,0;652,0;631,0;559;671,0;689,0
5, Margareten;1136;1116,0;1236,0;1219,0;1229,0;1292,0;1194;1233,0;1213,0
6, Mariahilf;657;644,0;658,0;730,0;662,0;696,0;672;672,0;709,0
7, Neubau;624;656,0;602,0;664,0;642,0;595,0;617;706,0;665,0
8, Josefstadt;1382;1619,0;1572,0;1560,0;1684,0;1619,0;1540;1289,0;1132,0
9, Alsergrund;1112;1151,0;2098,0;1667,0;1108,0;1025,0;1038;1093,0;1382,0
10, Favoriten;3258;3270,0;3311,0;3683,0;3910,0;3954,0;3849;3737,0;4129,0
11, Simmering;1600;1683,0;1924,0;1937,0;1951,0;2051,0;2184;2139,0;2182,0
12, Meidling;1613;1711,0;1710,0;1961,0;1925,0;1981,0;1994;2012,0;2044,0
13, Hietzing;881;895,0;947,0;985,0;928,0;974,0;926;1002,0;988,0
14, Penzing;1673;1523,0;1804,0;1779,0;1843,0;1836,0;1810;1807,0;1894,0
15, Rudolfsheim-Fünfhaus;1534;1550,0;1634,0;1751,0;1756,0;1868,0;1724;1596,0;1731,0
16, Ottakring;1731;1685,0;1911,0;1967,0;2025,0;2150,0;2020;2012,0;2038,0
17, Hernals;1064;973,0;1057,0;1138,0;1245,0;1170,0;1070;1129,0;1181,0
18, Währing;949;859,0;916,0;1084,0;970,0;1016,0;1033;1036,0;1104,0
19, Döbling;1190;1130,0;1139,0;1371,0;1246,0;1314,0;1291;1345,0;1360,0
20, Brigittenau;1464;1435,0;1605,0;1667,0;1689,0;1659,0;1708;1638,0;1751,0
21, Floridsdorf;2234;2437,0;2509,0;2876,0;2828,0;3042,0;3105;3086,0;3206,0
22, Donaustadt;2340;2494,0;2540,0;2833,0;2999,0;3040,0;3150;3075,0;3289,0
23, Liesing;1688;1916,0;1852,0;2083,0;2118,0;2077,0;2011;2280,0;2334,0
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
