Eheschließungen für Wien seit 1966 – Kennziffern;;;;;;;;;;
Jahr;Eheschließungen (1);;;;;;Gesamtheiratsrate (2);;"Durchschnittliches
Erstheiratsalter (2)";
2015;9526;4875;1696;1601;1354;64,42368255301281;0,47377250134738474;0,49934457913039176;32,04296878332089;30,015840687145307
2016;9914;5008;1775;1675;1456;65,55376235626386;0,48348125218202553;0,5118831848069253;32,27429521876166;30,12938287526815
2017;9525;4924;1734;1558;1309;65,7217847769029;0,4564776494657987;0,4821324790150971;32,515528413395884;30,37658798627742
2018;9645;5021;1781;1576;1267;67,0191809227579;0,459885199055177;0,4905186471781213;32,5185062185577;30,501371433427
2019;9913;5250;1808;1641;1214;66,48844951074346;0,45128249211536;0,4821812003138198;32,68841434104319;30,64629448106373
2020;7627;4256;1338;1129;904;67,33971417333159;0,4512824921153604;0,4821812003138198;32,773623130918786;30,862333238619193
2021;8118;4274;1515;1319;1010;70,3991130820399;0,4512824921153604;0,4821812003138198;32,60179089759478;30,712516037989076
Quelle: Statistik Austria und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;;
"(1) Ö = Österreichische Staatsangehörigkeit_ F = Fremde Staatsangehörigkeit,
(2) Vor dem 50, Geburtstag,";;;;;;;;;;
;;;;;;;;;;
