Wildabschuss und Fallwild in den Jagdgebieten * der Stadt Wien nach Wildarten seit 2001;;;;;;;;;;;;;;;;;
Wildarten;Jagdjahr;;;;;;;;;;;;;;;;
;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Abschüsse insgesamt;4514;3654;3310;4597;5139;3250;3289;3349;3016;3096;2547;1885;2773;2888;2473;2568;2645
Abschuss von Haarwild;;;;;;;;;;;;;;;;;
Haarwild insgesamt **;2628;2347;2245;3298;3835;2410;2303;2343;2344;2648;2055;1555;2491;2436;2078;2227;2435
Rotwild;62;118;96;100;99;70;78;116;117;106;74;74;63;53;64;68;58
Damwild;28;39;64;77;96;64;49;19;37;48;67;23;71;108;76;71;46
Rehwild;330;349;300;343;358;317;321;332;319;330;374;347;351;325;354;400;405
Muffelwild;72;89;96;241;353;164;130;5;110;105;149;26;143;156;170;98;63
Schwarzwild;1155;1103;1237;1854;2268;1194;909;1099;1120;1618;946;616;1337;1218;1005;1178;1466
Hasen;682;400;227;427;374;347;427;528;383;210;246;178;294;333;168;204;74
Dachse;24;26;17;13;17;20;145;10;14;18;17;36;29;20;23;22;16
Füchse;166;149;135;132;146;109;115;113;110;129;117;189;137;144;136;114;229
Marder;36;32;28;32;39;31;28;37;34;32;29;37;33;35;36;29;37
Wiesel;45;26;25;59;66;74;88;70;66;39;22;18;25;41;30;38;39
lltisse;28;16;20;20;19;20;13;14;34;13;14;11;8;3;4;3;2
Abschuss von Federwild;;;;;;;;;;;;;;;;;
Federwild insgesamt;1886;1307;1065;1299;1304;840;986;1006;672;448;492;330;282;452;395;341;210
Fasane ***;1116;1066;717;940;901;588;769;757;477;302;360;211;218;398;301;254;166
Rebhühner;443;19;23;47;44;34;38;44;35;17;29;11;12;21;15;13;1
Wildenten;239;102;208;203;159;143;126;121;107;71;43;63;43;29;42;38;20
Wildgänse;1;–;–;1;1;–;2;1;–;1;–;–;–;–;–;–;–
Wildtauben;87;120;117;108;199;75;51;83;53;57;60;41;9;4;37;36;23
Fallwild (Verluste) insgesamt;304;347;290;310;450;410;372;267;469;529;432;317;359;359;359;299;162
Fallwild bei Haarwild;;;;;;;;;;;;;;;;;
Haarwild insgesamt;257;287;254;269;397;360;321;216;432;469;375;298;340;316;325;270;132
Rotwild;2;4;1;2;4;4;1;1;4;2;4;7;19;10;12;12;5
Damwild;–;–;–;–;5;–;–;–;1;3;2;6;6;2;1;2;2
Rehwild;96;135;127;141;164;149;150;130;181;195;186;160;168;175;165;142;43
Muffelwild;–;4;–;1;14;12;8;–;11;14;28;5;12;6;7;1;4
Schwarzwild;5;6;5;11;72;56;33;34;56;120;38;29;57;72;83;53;40
Hasen;128;117;84;76;99;91;92;1;131;89;64;53;51;33;34;33;21
Sonstiges Haarwild;26;21;37;38;39;48;37;50;48;46;53;38;27;18;23;27;17
Fallwild bei Federwild;;;;;;;;;;;;;;;;;
Federwild insgesamt;47;60;36;41;53;50;51;51;37;60;57;19;18;40;34;29;30
Fasane;42;55;33;35;46;47;45;43;29;46;50;19;15;33;27;26;13
Rebhühner;5;3;2;2;4;3;6;6;8;13;7;–;1;7;2;1;2
Sonstiges Federwild;–;2;1;4;3;–;–;2;–;1;–;–;2;–;5;2;15
Quelle: MA 58.;;;;;;;;;;;;;;;;;
* Im Stadtgebiet von Wien gibt es 32 Jagdgebiete (Stand: 2016).
** 2015: Zusätzlich Abschuss von 12 Wildkaninchen. 2016: Zusätzlich Abschuss von 2 Wildkaninchen.
*** 2012: Zusätzlich Abschuss von 4 Schnepfen.;;;;;;;;;;;;;;;;;
