Investitionen und Förderungen der Wirtschaftsagentur Wien seit 2003;;;;;;;
Jahr;Insgesamt;;Arbeitsplätze und ausgelöste Investitionen;;;;
;;;Monetäre Wirtschaftsförderung;;Immobilienaktivitäten;;Services und Beratungen *
;Arbeitsplätze;Investitionen
in Mio. EUR;Arbeitsplätze;Investitionen
in Mio. EUR;Arbeitsplätze;Investitionen
in Mio. EUR;Arbeitsplätze
2003;4223;226,95;3077;205,95;286;21;860
2004;4347,09027416107;247,43;2974;206,25;560;41,18;813
2005;4288,14146951114;226,99;2438;165,37;838;61,62;1012
2006;4463,96718497511;260,17;2324;192,2;924;67,97;1216
2007;3934,29355435158;243,97;1938;175,59;930;68,38;1066
2008;3508,36112352948;196,51;2085;159,51;419;37;1004
2009;3035,19619996374;182,96;1969;142,87;474;40,09;592
2010;3026,9665524486;150,63;1616;101,25;709;49,38;702
2011;3653,09663319735;168,6;1449,29885541957;101,5;623;67,1;1581
2012;3384,35060900246;164,274041333333;1294,63949789135;108;545,711111111111;56,2740413333333;1544
2013;3057;171,345;1077;110,5;883;60,845;1097
2014;3074;266,2;1481;222,7;630;43,5;963
2015;3345;154,3;1799;119,2;108;35,1;1438
2016;3291;166;1810;130,9;336;35,1;1144
2017;3255;149,1;1508;100,9;426;48,2;1321
* Ansiedlungen inklusive ABA.;;;;;;;
Quelle: Wirtschaftsagentur Wien.;;;;;;;
