Warenaußenhandel nach Produkthauptgruppen in Wien seit 2007;;;;;;;;;;;;;;;;;;;;
Warengruppe;Berichtsjahr *;;;;;;;;;;;;;;;;;;;
;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;
;Export;Import;Export;Import;Export;Import;Export;Import;Export;Import;Export;Import;Export;Import;Export;Import;Export;Import;Export;Import
;Mio. EUR;;;;;;;;;;;;;;;;;;;
Warenaußenhandel insgesamt;14759,901199;28965,786205;14707,909211;28688,931511;12466,40603;23990,2154910002;17420,243981;31588,062459;17889,067733;34787,158788;18393,48876;35079,555036;18318,491222;33794,864484;18987,77024;32442,224891;18377,68917;33712,365652;17776,500798;33893,109754
Agrarprodukte;973,149974;1849,248068;1049,796358;1562,468499;872,507182;1540,122411;872,561107;1885,353075;1114,595748;2161,494522;1092,162765;2269,238394;1192,678062;2419,422418;1118,484899;2384,692948;1052,918409;2278,904874;1105,959206;2441,813701
Chemische Erzeugnisse, Kunststoffe;2867,60038;3858,243007;3068,388195;3794,716631;3008,72985299998;3773,010361;4549,060212;5586,614587;4549,937808;5911,005016;5498,151931;6276,037594;5843,525657;6590,163389;6530,165649;6755,636947;6617,644272;7408,818761;5934,409942;7569,569762
Elektrische Maschinen und Apparate;1373,966695;2888,982395;1113,949086;2546,972024;1046,502825;2457,1536;2154,773721;4047,310024;2171,419489;3991,843668;2388,053342;4335,329288;2665,389759;4247,439623;2763,501768;4234,587453;2711,004795;4393,708966;2496,178523;4450,025762
Fahrzeuge;1352,272017;3317,380983;1146,155847;2755,505419;1242,78189;1769,479427;2079,867845;3722,492576;1558,897104;3928,174811;1535,453488;3827,606747;1830,885019;3785,304156;1870,999941;3606,673777;1421,653978;3816,675349;1568,703107;4085,180918
Gummi/Lederwaren;242,390801;342,528516;205,693273;317,433929;171,283042;253,949352;102,598018;428,2948;139,662627;531,827779;96,443889;471,618632;90,287263;418,120298;85,380873;456,419323;94,946577;479,153694;85,341681;464,422958
Holz, Papier, graphische Erzeugnisse;519,823189;862,765774;457,382511;647,06871;430,692863000001;628,506058999998;521,948514;873,581351;580,517896;890,012286;546,673289;840,437016;517,319126;872,250844;371,978839;809,976259;380,134658;772,7823;493,909382;892,969896
Instrumente, Waffen;623,198995;1042,589312;574,979645;822,996779;432,85912;791,809709999999;697,51941;1237,734435;730,42138;1280,131327;846,096485;1362,762264;838,017995;1321,522972;730,787766;1284,138175;709,880389;1413,293578;687,664522;1495,213619
Keramische Erzeugung, Glas;740,777947;833,250022;760,042966;1727,34595;888,766965;2358,756019;1420,044746;2465,095884;1417,604676;3536,183;1255,264686;2968,198804;1645,3383;2895,242107;1296,476691;2066,968626;1409,911956;2842,429613;1354,636112;2199,711665
Maschinen, mechanische Geräte;1985,417456;3006,399261;1538,827472;2291,461182;1241,819438;2063,754717;1968,467473;3325,218155;2101,783385;3430,323122;2014,110038;3281,913138;1842,244039;3228,369338;2294,428119;3355,3883;2036,866412;3434,834816;1896,856341;3548,210638
Metallwaren;878,135796;1677,819942;817,129685;1440,982194;499,182496;925,432436999999;816,564921;1402,472007;834,064679;1514,504665;764,864359;1368,274559;716,738289;1317,018331;687,065483;1308,323067;593,672309;1216,818937;683,122907;1292,218198
Möbel, Spielwaren, Sonstiges;287,463011;756,550241;313,130891;405,537907;217,587552;399,231615000001;213,67002;563,071697;296,035184;640,988743;287,472843;810,925139;395,114083;788,41729;346,98192;818,356919;363,726706;897,779141;409,441874;938,537489
Rohstoffe/Mineralöle;2560,433935;7260,408668;3430,97531;9203,469118;2272,242358;6062,571052;1780,745666;4798,92476;2051,833465;5606,327431;1758,683893;5896,343891;420,593251;4460,124924;486,414551;3805,558866;489,30892;3133,160873;469,916641;2702,4418
Textilien/Bekleidungsgegenstände;355,271003;1269,620016;231,457972;1172,973169;141,450446;966,438731000005;240,639961;1251,026735;306,245614;1364,342418;310,057752;1370,86957;320,360379;1451,468794;405,103741;1555,504231;496,019789;1624,00475;590,36056;1812,793348
