Nationalratswahl – Stimmeteile der Parteien nach Gemeindebezirken 2019;;;;;;;;;
Gemeindebezirk;Nationalratswahl;;;;;;;;
;SPÖ;ÖVP;GRÜNE;FPÖ;NEOS;JETZT *;KPÖ **;WANDL ***;sonstige Parteien ****
;%;;;;;;;;
Wien;27,11;24,63;20,69;12,83;9,86;2,96;0,78;0,53;0,6100000000000136
1. Innere Stadt;16,6;36,6;18,6;7,6;16,7;2,9;0,4;0,3;0,29999999999999716
2. Leopoldstadt;27,6;19,25;28,34;9,71;9,879999999999999;3,0300000000000002;1,04;0,6;0,5499999999999972
3. Landstraße;23,82;23,68;26,21;9,2;12,04;3,18;0,8699999999999999;0,53;0,46999999999999886
4. Wieden;20,59;23,599999999999998;30,220000000000002;6,890000000000001;13,700000000000001;3,45;0,79;0,47000000000000003;0,28999999999999204
5. Margareten;26,69;18,83;30,14;8,24;10,299999999999999;3,45;1,0699999999999998;0,76;0,519999999999996
6. Mariahilf;21,22;19,830000000000002;34,02;7,000000000000001;12,64;3,52;0,8699999999999999;0,53;0,3699999999999761
7. Neubau;19,39;17,96;37,54;5,76;13,170000000000002;4,3;0,95;0,6799999999999999;0,2499999999999858
8. Josefstadt;18,029999999999998;23;32,550000000000004;6,17;14,32;4,03;1,05;0,5;0,3499999999999801
9. Alsergrund;19,62;21,98;32,08;6,710000000000001;14,149999999999999;3,54;0,8999999999999999;0,5599999999999999;0,45999999999999375
10. Favoriten;36,83;22,97;12,45;17,23;6,08;2,45;0,8;0,49;0,7000000000000028
11. Simmering;34,599999999999994;22,869999999999997;11,12;20,76;5,94;2,48;0,8;0,48;0,9500000000000028
12. Meidling;30,89;23,56;19,37;13,139999999999999;8,04;2,9499999999999997;0,88;0,54;0,6299999999999812
13. Hietzing;19;34,07;19,31;9,35;14,13;2,97;0,43;0,31;0,4299999999999926
14. Penzing;24,990000000000002;26,25;21,64;11,83;10,51;2,9499999999999997;0,67;0,5700000000000001;0,5900000000000034
15. Rudolfsheim-Fünfhaus;29,43;18,08;28,87;10,48;7,66;3,09;1,17;0,69;0,5300000000000011
16. Ottakring;28,810000000000002;21,64;24,740000000000002;11,44;8,14;3,01;1,06;0,62;0,539999999999992
17. Hernals;23,09;23,91;26,66;9,8;11,43;3,26;0,8099999999999999;0,66;0,38000000000000966
18. Währing;17,14;26,650000000000002;29,110000000000003;7,380000000000001;15,110000000000001;3,08;0,64;0,53;0,3599999999999852
19. Döbling;20,72;32,98;17,94;9,67;14,38;2,88;0,59;0,43;0,4099999999999966
20. Brigittenau;34,160000000000004;20,57;20,07;13,4;6,72;2,81;1,02;0,65;0,5999999999999801
21. Floridsdorf;30,220000000000002;26,33;12,68;18,82;7,24;2,7199999999999998;0,64;0,51;0,8400000000000034
22. Donaustadt;29,099999999999998;26,19;14,46;17,01;8,41;2,82;0,63;0,5;0,8800000000000239
23. Liesing;27,08;28,49;15,299999999999999;14,75;10,16;2,58;0,6;0,42;0,6200000000000188
Österreich;;;;;;;;;
Stimmeteile;21,2;37,5;13,9;16,2;8,1;1,9;0,7;0,5;0
Quelle: Landeswahlbehörde Wien und Bundeswahlbehörde.;;;;;;;;;
"* JETZT = JETZT – Liste Pilz  (bis Dezember 2018: Liste Peter Pilz).
** KPÖ = Alternative Listen, KPÖ Plus, Linke und Unabhängige.
*** WANDL = Wandel – Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.
**** In Wien angetretene sonstige Parteien: BPÖ – Bierpartei Österreichs.";;;;;;;;;
;;;;;;;;;
