Kinder in elementaren Bildungs- und Betreuungseinrichtungen nach Gemeindebezirken 2018/19;;;;;
Gemeindebezirk;Insgesamt;Kinder – davon in…;;;
;;Kleinkindergruppen;Kindergartengruppen;Hortgruppen;Familiengruppen,
Kindergruppen
Wien;96330;14516;34440;15807;31567
1. Innere Stadt;1235;180;377;246;432
2. Leopoldstadt;5740;796;1681;1058;2205
3. Landstraße;4837;690;1717;635;1795
4. Wieden;2084;224;495;835;530
5. Margareten;2030;252;783;155;840
6. Mariahilf;1673;196;394;606;477
7. Neubau;1417;208;606;145;458
8. Josefstadt;1262;174;249;388;451
9. Alsergrund;1955;282;461;353;859
10. Favoriten;10363;1460;3641;1652;3610
11. Simmering;5205;898;2315;526;1466
12. Meidling;4454;550;1473;703;1728
13. Hietzing;2652;265;693;609;1085
14. Penzing;3825;676;1570;294;1285
15. Rudolfsheim-Fünfhaus;3932;743;1489;614;1086
16. Ottakring;4641;824;1780;661;1376
17. Hernals;2411;365;916;506;624
18. Währing;2730;470;1011;502;747
19. Döbling;3977;351;1309;1078;1239
20. Brigittenau;3905;699;1804;374;1028
21. Floridsdorf;8220;1395;3144;1006;2675
22. Donaustadt;11940;1817;4425;2014;3684
23. Liesing;5842;1001;2107;847;1887
Quelle: Statistik Austria – Kindertagesheimstatistik.;;;;;
Anmerkung: Ohne Kinder bei Tageseltern. Betreute Kinder nach der geführten Form der Betreuungsgruppe.;;;;;
