Schülerinnen und Schüler in berufsbildenden und weiteren Schulen nach Gemeindebezirken 2016/17;;;;;;;
Gemeindebezirk;Insgesamt;Schülerinnen und Schüler in den Schultypen;;;;;
;;berufsbildende Schulen;;;;Bundessport-
akademien;Schulen im
Gesundheitswesen
;;Berufsschulen;berufsbildende
mittlere Schulen;berufsbildende höhere Schulen;sonstige berufsbildende (Statut-)Schulen;;
Wien;62061;19733;7729;28320;1901;1032;3346
1. Innere Stadt;1157;–;204;711;219;–;23
2. Leopoldstadt;854;–;258;239;212;–;145
3. Landstraße;4256;–;1077;2813;115;–;251
4. Wieden;248;–;248;–;–;–;–
5. Margareten;3914;598;549;2727;40;–;–
6. Mariahilf;3884;3767;58;–;–;–;59
7. Neubau;1717;875;62;655;125;–;–
8. Josefstadt;1805;–;250;1555;–;–;–
9. Alsergrund;1767;–;406;617;237;–;507
10. Favoriten;5635;1139;832;2865;336;–;463
11. Simmering;432;–;88;344;–;–;–
12. Meidling;5348;3473;351;1524;–;–;–
13. Hietzing;3418;1186;287;1643;302;–;–
14. Penzing;2664;1035;157;1198;–;–;274
15. Rudolfsheim-Fünfhaus;5353;3839;372;110;–;1032;–
16. Ottakring;4114;1028;575;1885;–;–;626
17. Hernals;1375;–;513;862;–;–;–
18. Währing;61;–;–;–;61;–;–
19. Döbling;1943;61;341;1507;–;–;34
20. Brigittenau;2542;–;93;2449;–;–;–
21. Floridsdorf;4320;1337;361;1789;213;–;620
22. Donaustadt;4872;1386;560;2582;–;–;344
23. Liesing;382;9;87;245;41;–;–
Quelle: Statistik Austria – Schulstatistik.;;;;;;;
