Schülerinnen und Schüler in Wien nach Schultypen und Geschlecht 2016/17;;;;;
Schultyp;Insgesamt;Schülerinnen und Schüler;;;
;;Geschlecht;;;
;;Schüler;Schülerinnen;Schüler;Schülerinnen
;;absolut;;%;
Schultypen insgesamt;235295;120267;115028;51,1132833251875;48,8867166748125
Allgemein bildende Pflichtschulen;107030;56782;50248;53,0524152106886;46,9475847893114
Volksschulen;70398;36403;33995;51,7102758601097;48,2897241398903
Hauptschulen;293;148;145;50,5119453924915;49,4880546075085
Neue Mittelschulen;30672;16744;13928;54,5905059989567;45,4094940010433
Sonderschulen;3122;2019;1103;64,6700832799488;35,3299167200512
Polytechnische Schulen;2545;1468;1077;57,6817288801572;42,3182711198428
Allgemein bildende höhere Schulen insgesamt;61199;28618;32581;46,7622019967647;53,2377980032353
Unterstufe;34563;16872;17691;48,8152070132801;51,1847929867199
darunter Modellversuch NMS an AHS;3067;1557;1510;50,7662210629279;49,2337789370721
Oberstufe;26636;11746;14890;44,0982129448866;55,9017870551134
Sonstige allgemein bildende (Statut-)Schulen;5005;2587;2418;51,6883116883117;48,3116883116883
Berufsschulen;19733;12380;7353;62,7375462423352;37,2624537576648
Gewerbliche und kaufmännische Berufsschulen;19733;12380;7353;62,7375462423352;37,2624537576648
Berufsbildende mittlere Schulen;7729;4112;3617;53,202225384914;46,797774615086
Technisch-gewerbliche mittlere Schulen;3130;2394;736;76,4856230031949;23,5143769968051
Kaufmännische mittlere Schulen;2902;1243;1659;42,8325292901447;57,1674707098553
Wirtschaftsberufliche mittlere Schulen;1239;411;828;33,1719128329298;66,8280871670702
Sozialberufliche mittlere Schulen;317;52;265;16,403785488959;83,596214511041
Mittlere Schulen für pädagogische Assistenzberufe;141;12;129;8,51063829787234;91,4893617021277
Sonstige berufsbildende (Statut-)Schulen;1901;653;1248;34,3503419253025;65,6496580746975
Berufsbildende höhere Schulen;28320;13579;14741;47,9484463276836;52,0515536723164
Technisch-gewerbliche höhere Schulen;14368;9689;4679;67,4345768374165;32,5654231625835
Kaufmännische höhere Schulen;7613;2780;4833;36,516484959937;63,4835150400631
Wirtschaftsberufliche höhere Schulen;2851;659;2192;23,114696597685;76,885303402315
Land- und forstwirtschaftliche höhere Schulen;171;79;92;46,1988304093567;53,8011695906433
Bildungsanstalten für Elementarpädagogik;2826;245;2581;8,66949752300071;91,3305024769993
Bildungsanstalten für Sozialpädagogik;491;127;364;25,8655804480652;74,1344195519348
Bundessportakademien;1032;696;336;67,4418604651163;32,5581395348837
Schulen im Gesundheitswesen;3346;860;2486;25,7023311416617;74,2976688583383
Quelle: Statistik Austria – Schulstatistik.;;;;;
* Inkl. Schüler, die nach dem Lehrplan der Sonderschule in anderen Schulen unterrichtet werden.
** Inkl. Oberstufenrealgymnasien, Aufbau- und Aufbaurealgymnasien und AHS für Berufstätige.
***  Inkl. Schulen mit ausländischem Lehrplan.;;;;;
