Bildungsstand der 25- bis 64-jährigen Wohnbevölkerung nach Bundesländern 2016;;;;;;;;
Bundesland;Höchste abgeschlossene Ausbildung;;;;;;;
;Pflichtschule *;Lehre;BMS;AHS;BHS;Kolleg;Akademie;Hochschule
;%;;;;;;;
Österreich insgesamt;18,3138150212437;34,3637523223248;14,8071327851158;6,06670836324498;8,54566237479473;0,768449452141879;2,39593057827814;14,738549102856
Burgenland;16,9916725563101;35,1694680883754;18,8900838890084;5,18944166180131;10,3973204683035;0,696309498202378;2,50376425037642;10,1619395876225
Kärnten;13,9852990656624;40,4599218365815;15,7206822475865;4,74512772730802;9,75942749178249;0,591402023966664;2,60372182105236;12,13441778606
Niederösterreich;16,1775125085273;35,6365255577564;17,4369199520059;5,18218250495186;10,2487666954017;0,804143113784277;2,53197598538241;11,9819736821902
Oberösterreich;19,3338308623961;38,7482317297303;15,643823646987;3,82763217008068;8,13658039116675;0,467454544779472;2,64457736638807;11,1978692884716
Salzburg;16,689538792877;37,4274439249882;15,545385302306;5,26310605662657;7,89712139517781;0,703235803960708;2,53946262541367;13,93470609865
Steiermark;15,5459041329835;39,4594263496476;14,8111579908383;5,34069148974958;8,27778012743572;0,885108046184877;2,3279114571104;13,3520204060501
Tirol;18,292971370923;36,4606814791931;16,4874231899868;4,90184247491155;7,36096965250257;0,749878117653873;2,60635139766469;13,1398823171644
Vorarlberg;21,6942158426866;35,3276659851501;16,7493999691212;4,36045831598351;7,3238856736487;0,795362568366091;2,69815054809838;11,0508610969453
Wien;22,4282741297532;22,8194589161508;9,74419481210188;10,5602888400393;7,82246766656055;0,975269677558312;1,87109322969755;23,7789527281384
Quelle: Statistik Austria – Bildungsstandregister.;;;;;;;;
* Inklusive Personen ohne Pflichtschulabschluss.;;;;;;;;
