Schülerinnen und Schüler in AHS, Modellversuch Neue Mittelschule an AHS und Statutschulen nach Gemeindebezirken 2016/17;;;;;
Gemeindebezirk;Insgesamt;Schülerinnen und Schüler in den Schultypen;;;
;;allgemein bildende höhere Schulen;;;sonstige allgemein
bildende (Statut-)
Schulen *
;;;;;
;;AHS-Unterstufe;Modellversuch NMS an AHS;AHS-Oberstufe;
Wien;66204;31496;3067;26636;5005
1. Innere Stadt;3177;1247;-;1898;32
2. Leopoldstadt;2861;1323;110;943;485
3. Landstraße;4492;2029;120;2234;109
4. Wieden;1998;1070;-;928;-
5. Margareten;1225;730;-;495;-
6. Mariahilf;1860;1071;-;736;53
7. Neubau;1614;535;295;784;-
8. Josefstadt;1649;993;-;656;-
9. Alsergrund;1251;665;-;486;100
10. Favoriten;3377;2251;-;1043;83
11. Simmering;2192;1453;-;739;-
12. Meidling;1412;813;-;394;205
13. Hietzing;2522;1245;-;969;308
14. Penzing;2032;1048;-;648;336
15. Rudolfsheim-Fünfhaus;3070;1771;-;1299;-
16. Ottakring;1629;894;71;648;16
17. Hernals;1639;953;-;638;48
18. Währing;2904;1358;-;1059;487
19. Döbling;4273;2126;-;1416;731
20. Brigittenau;1084;389;-;689;6
21. Floridsdorf;7940;3602;-;4319;19
22. Donaustadt;7241;1970;1912;1850;1509
23. Liesing;4762;1960;559;1765;478
Quelle: Statistik Austria – Schulstatistik.;;;;;
* Inklusive Schulen mit ausländischem Lehrplan.;;;;;
