BevÃƒÂ¶lkerung nach Gemeindebezirken seit 2002 Ã¢â‚¬â€œ StaatsangehÃƒÂ¶rigkeit Ãƒâ€“sterreich;;;;;;;;;;;;;;;;;;;
Gemeindebezirk;BevÃƒÂ¶lkerungsstand zum Stichtag 1.1.;;;;;;;;;;;;;;;;;;
;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Wien;1313586;1322937;1333603;1342704;1349655;1352527;1350576;1346124;1343898;1342221;1340521;1340335;1338533;1337174;1336029;1333050;1329449;1324657;1322176
1. Innere Stadt;14795;14691;14528;14328;14201;13998;13819;13519;13388;13193;12986;12843;12686;12624;12523;12439;12386;12239;11942
2. Leopoldstadt;67955;68489;68985;69024;69142;69185;68716;68250;68422;68728;68791;69267;70041;70189;69838;69844;69524;68885;69153
3. LandstraÃƒÅ¸e;66756;66598;66846;66837;66811;66380;65529;65113;64741;64762;64614;64522;64211;64152;63601;63146;62736;62594;62124
4. Wieden;24305;24330;24182;24038;24090;24007;23735;23540;23326;23257;23262;23028;22951;22827;22887;22784;22664;22487;22409
5. Margareten;37984;38072;38626;38939;39067;38780;38580;38075;37874;37710;37281;36928;36630;36249;35814;35423;35057;34582;34130
6. Mariahilf;23207;23310;23531;23560;23770;23710;23448;23090;22966;22783;22696;22927;22907;22813;22729;22708;22482;22235;22012
7. Neubau;22975;23081;23101;23070;23352;23497;23403;23135;23186;23168;23094;23036;23065;23018;22994;22848;22830;22653;22393
8. Josefstadt;18561;18854;18803;18849;18889;18821;18681;18495;18226;18188;18226;18239;18175;17921;17868;17851;17786;17546;17247
9. Alsergrund;31025;30853;30827;30826;30701;30527;30427;30072;29911;29749;29589;29491;29381;29158;29111;28947;28721;28331;28241
10. Favoriten;126915;128538;130129;132639;134031;134982;134954;134694;134152;133468;132684;131717;131460;131325;131032;129777;129476;128882;128877
11. Simmering;68468;69102;69630;70021;70076;69968;71253;72090;72806;72831;72794;72794;72614;72641;72446;73077;72819;72911;72706
12. Meidling;65656;66149;67081;67498;67404;67716;67630;67728;67541;67119;66588;66521;66010;65472;64883;64586;64405;63871;62983
13. Hietzing;46007;46216;46210;46260;46105;45970;45635;45335;45159;44796;44317;44173;43991;43865;43830;43586;43276;43061;42983
14. Penzing;68530;68874;69193;69892;70428;70612;70588;70289;69940;69798;69421;69491;69709;69991;69630;69227;68732;68582;68539
15. Rudolfsheim-FÃƒÂ¼nfhaus;46752;47069;47961;48432;48526;48448;48104;47914;47576;47366;47085;47387;47196;46901;46579;46098;45571;44820;44220
16. Ottakring;66296;67193;68091;68894;69876;69895;69563;69240;68787;68375;68253;68506;68430;67915;67665;67481;66729;65918;65145
17. Hernals;37431;37862;38467;38914;39429;39568;39345;38981;38996;38717;38590;38642;38659;38741;38381;38179;37838;37454;37087
18. WÃƒÂ¤hring;37562;37734;38043;38225;38204;37998;37841;37696;37669;37485;37251;37142;36860;36810;36775;37061;37063;37120;36901
19. DÃƒÂ¶bling;57454;57650;57820;57863;57963;57986;57707;57273;56991;56617;56560;56273;55929;55731;55476;54885;54711;54373;54800
20. Brigittenau;58759;59353;59751;60558;60410;60788;60497;60016;59430;59111;58829;58223;57439;56809;55873;55185;54540;53699;52859
21. Floridsdorf;119013;119992;121116;121556;122428;122521;122664;122328;122307;122454;122899;123169;123271;123700;124433;124421;125171;125661;125722
22. Donaustadt;127585;129189;130725;132199;133546;135036;135943;136988;138108;139659;141472;142846;143816;145651;148825;149890;150277;151358;152472
23. Liesing;79595;79738;79957;80282;81206;82134;82514;82263;82396;82887;83239;83170;83102;82671;82836;83607;84655;85395;87231
Quelle: Statistik Austria Ã¢â‚¬â€œ Statistik des BevÃƒÂ¶lkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;;;;;;;;;;
