BevÃƒÂ¶lkerung nach Geburtsland der EU, Geschlecht und Gemeindebezirken 2020;;;;;;;;;
Gemeindebezirk;BevÃƒÂ¶lkerung zum Stichtag 1.1.;;;;;;;;
;Insgesamt;fremdes Geburtsland;;;;;;;
;;insgesamt;;EU;;;nicht EU;;
;;;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;absolut;%;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen
Wien;1911191;701662;36,7133373901405;261040;121027;140013;440622;221828;218794
1. Innere Stadt;16047;5613;34,9785006543279;2557;1164;1393;3056;1398;1658
2. Leopoldstadt;105848;43243;40,8538659209432;16238;7742;8496;27005;13583;13422
3. LandstraÃƒÅ¸e;91680;35560;38,7870855148342;15547;7297;8250;20013;9868;10145
4. Wieden;33212;13102;39,4495965313742;6056;2779;3277;7046;3397;3649
5. Margareten;55123;24483;44,4152168786169;9738;4634;5104;14745;7474;7271
6. Mariahilf;31651;12031;38,0114372373701;5698;2635;3063;6333;3155;3178
7. Neubau;31961;11617;36,3474234222959;5718;2684;3034;5899;2884;3015
8. Josefstadt;25021;9242;36,9369729427281;4459;2183;2276;4783;2609;2174
9. Alsergrund;41884;15988;38,1720943558399;7873;3588;4285;8115;3891;4224
10. Favoriten;207193;89652;43,2698015859609;26868;12914;13954;62784;32706;30078
11. Simmering;104434;38021;36,4067257789609;12236;5690;6546;25785;12951;12834
12. Meidling;97078;39890;41,0906693586601;13360;6329;7031;26530;13531;12999
13. Hietzing;54040;14255;26,3786084381939;7211;3050;4161;7044;3300;3744
14. Penzing;93634;30062;32,1058589828481;12023;5472;6551;18039;9134;8905
15. Rudolfsheim-FÃƒÂ¼nfhaus;76813;36775;47,8760105711273;12800;6374;6426;23975;12548;11427
16. Ottakring;103117;43331;42,0211992203032;14675;7138;7537;28656;14920;13736
17. Hernals;57027;22524;39,4970803303698;8834;4291;4543;13690;7052;6638
18. WÃƒÂ¤hring;51497;17150;33,3029108491757;7909;3587;4322;9241;4419;4822
19. DÃƒÂ¶bling;73901;24008;32,4867051866687;10150;4336;5814;13858;6605;7253
20. Brigittenau;86368;39176;45,3593923675435;11792;5584;6208;27384;14013;13371
21. Floridsdorf;167968;50953;30,3349447513812;17781;7806;9975;33172;16513;16659
22. Donaustadt;195230;56029;28,698970445116;19876;8577;11299;36153;17396;18757
23. Liesing;110464;28957;26,2139701622248;11641;5173;6468;17316;8481;8835
Quelle: Statistik Austria Ã¢â‚¬â€œ Statistik des BevÃƒÂ¶lkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
