NatÃƒÂ¼rliche BevÃƒÂ¶lkerungsbewegung fÃƒÂ¼r Wien seit 1981 Ã¢â‚¬â€œ Kennziffern nach StaatsangehÃƒÂ¶rigkeit;;;;;;;;;;
Jahr;FertilitÃƒÂ¤t *;;;;;;Lebenserwartung bei Geburt;;;
;GesamtfertilitÃƒÂ¤tsrate;;Nettoreproduktionsrate;;Durchschnittliches
FertilitÃƒÂ¤tsalter;;Geschlecht;;;
;;;;;;;MÃƒÂ¤nner;;Frauen;
;Ãƒâ€“sterreicher-
innen;AuslÃƒÂ¤nder-
innen;Ãƒâ€“sterreicher-
innen;AuslÃƒÂ¤nder-
innen;Ãƒâ€“sterreicher-
innen;AuslÃƒÂ¤nder-
innen;Ãƒâ€“sterreicher;AuslÃƒÂ¤nder;Ãƒâ€“sterreicher-
innen;AuslÃƒÂ¤nder-
innen
1981;1,31;2,43;0,62;1,16;26,3;25,2;69,0472901144183;73,0078497396695;75,5447256904276;78,9797287292801
1982;1,29;2,66;0,61;1,27;26,3;25;68,7366365514912;71,2279712856228;75,9229854458807;77,8784517528608
1983;1,26;2,65;0,6;1,26;26,5;25,1;68,8518977076977;69,3353709677308;75,8597726946572;76,56023451378
1984;1,23943340470208;2,63516154671985;0,590280713999387;1,22713227945317;26,7249386722619;25,414906128041;69,1730480382141;67,7776226942689;76,6027056691709;74,1696602129586
1985;1,21752161805852;2,51904768725733;0,58099061622889;1,20207492812827;26,9702909284646;25,779387104246;69,5986598218712;70,8915691522205;76,5483197105478;78,6154674176272
1986;1,20287603272007;2,61382062202484;0,574047398834431;1,24206033296933;27,0022185938221;25,7433795500642;70,1511549757349;71,7188544415249;77,0351547228098;77,9902186631975
1987;1,1926336162351;2,78976975753885;0,569123010560762;1,32856510087612;27,2600361044736;25,5748146388713;70,3923979433348;71,8968308746041;77,2360643317283;78,2944041916018
1988;1,235497295849;2,68350960418268;0,591484913189331;1,28712023569686;27,3078369597618;25,6678620752974;70,8710098789881;72,1688509664622;77,765992937143;77,5438732922606
1989;1,21556345988289;2,62314217631714;0,581253336013484;1,24627705996615;27,5125559544164;25,8567083533378;71,1747989133213;70,2222238898568;78,0421957166717;77,6012927442774
1990;1,21913169006199;2,39917733004417;0,583853610282911;1,14305837675553;27,7256855794032;25,9676994969869;71,2725681413484;73,4989650716967;78,1592818302235;77,36815990744
1991;1,21895719090952;2,45597069795159;0,583447660653644;1,16876727827843;27,7185715592635;25,4754079248172;71,1111359025565;73,1752189301613;78,0644281809321;79,2745181949829
1992;1,17812061136304;2,44972441463331;0,563534668838596;1,170643112899;27,9159370176362;25,7080175015997;70,6017425703835;73,6730952179114;78,1123179910321;79,6993827286451
1993;1,14099189113759;2,42220521339683;0,544559087001083;1,15524157807035;27,9796086730364;25,905110711099;71,1888671940185;74,7818653132051;78,4277257525289;78,4317505401846
1994;1,14717885294467;2,23233158231385;0,549309336264948;1,06842036059512;28,1291862171005;26,3822150163925;71,7296114074601;74,6247413571395;78,7445927245938;80,2240543174254
1995;1,10407869160333;2,17322259795575;0,528088768603132;1,0401129660399;28,2812896105162;26,4105199804611;71,9220691687868;74,9181284590055;78,6549225571653;79,6728379649451
1996;1,13234520707947;2,10524402442908;0,544394067308731;1,00821347374598;28,4239809292964;26,6639199361907;72,3450708508782;76,126998895073;79,1173422410733;79,0074194465415
1997;1,10717555017157;1,95302947248993;0,531180789867079;0,937237869089294;28,4905161041101;26,9440552922895;73,380806061964;77,4032982468982;79,5519203288826;81,4764327924286
1998;1,10767458542782;1,93637116087487;0,532193143704443;0,928920500449576;28,4667247215706;27,0243905852006;73,057207494075;76,873714131036;80,151801586704;82,2677968276827
1999;1,1023429920741;1,96606801345358;0,529444902050396;0,946171410615267;28,6919533858742;27,0413489484938;73,6272825271004;77,3606690245882;79,8867327277129;82,4603777354311
2000;1,14616295181447;2,04685747309751;0,550763140794054;0,984622267220541;28,5780571776902;27,1064986679646;73,8941022683743;78,4543607396715;80,1810784305875;82,3011970238817
2001;1,10624069348524;2,03386058348737;0,531917150902174;0,978493247355052;28,6345042573853;27,6394338580247;74,2767869160422;78,6204285406947;80,4908496395596;82,7063351155007
2002;1,18737924486461;2,13877531282806;0,569678789967441;1,02966485254544;28,8888332784376;27,7318083262992;74,9555020595663;78,6738851344483;80,3558999151071;82,0655666831813
