Binnenwanderungssaldo gegenÃƒÂ¼ber den BundeslÃƒÂ¤ndern nach Gemeindebezirken seit 2011;;;;;;;;;
Gemeindebezirk;Berichtsjahr;;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018;2019
Wien;1418;3193;369;1023;1243;1138;-405;-5913;-4639
1. Innere Stadt;20;39;55;112;53;67;49;49;7
2. Leopoldstadt;910;638;685;673;662;497;194;8;77
3. LandstraÃƒÅ¸e;227;354;350;392;-53;256;244;142;79
4. Wieden;168;180;151;146;182;174;82;55;91
5. Margareten;333;396;225;343;287;341;307;-20;-31
6. Mariahilf;198;310;234;179;314;174;132;13;121
7. Neubau;270;289;233;215;248;244;218;207;103
8. Josefstadt;-325;-334;-512;-693;-524;-391;-406;-511;-663
9. Alsergrund;514;494;302;361;-716;-186;181;135;376
10. Favoriten;-158;10;-7;-61;483;489;518;-762;-402
11. Simmering;-430;-296;-331;-204;-268;-495;-564;-661;-886
12. Meidling;-113;386;63;-30;270;411;226;-291;-277
13. Hietzing;-48;-46;-84;-54;-23;-109;-123;-235;-176
14. Penzing;-113;84;-203;-66;-275;-152;-213;-343;-338
15. Rudolfsheim-FÃƒÂ¼nfhaus;404;802;324;336;607;578;374;-181;6
16. Ottakring;231;500;284;341;388;622;235;-378;-150
17. Hernals;30;435;14;229;306;180;-67;-194;-113
18. WÃƒÂ¤hring;104;169;84;185;195;245;21;-26;38
19. DÃƒÂ¶bling;-16;-29;-72;-86;73;-227;8;-198;46
20. Brigittenau;245;155;92;223;146;164;70;-196;-136
21. Floridsdorf;-206;-483;-380;-317;-301;-603;-376;-981;-1001
22. Donaustadt;-365;-160;-600;-468;-216;-736;-958;-926;-1001
23. Liesing;-462;-700;-538;-733;-595;-405;-557;-619;-409
Quelle: Statistik Austria Ã¢â‚¬â€œ Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
