BevÃƒÂ¶lkerung nach Gemeindebezirken seit 2002 Ã¢â‚¬â€œ keine auslÃƒÂ¤ndische Herkunft;;;;;;;;;;;;;;;;;;;
Gemeindebezirk;BevÃƒÂ¶lkerungsstand zum Stichtag 1.1.;;;;;;;;;;;;;;;;;;
;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Wien;1144020;1146702;1147946;1147899;1147964;1146792;1144243;1140290;1138995;1138674;1137819;1138365;1137205;1136195;1135324;1132873;1129212;1124315;1121131
1. Innere Stadt;12283;12221;12085;11940;11817;11668;11522;11273;11162;11013;10859;10766;10672;10625;10537;10484;10448;10356;10097
2. Leopoldstadt;56853;56892;56815;56453;56193;56075;55751;55428;55678;56128;56397;57033;57845;58129;58007;58073;57804;57301;57617
3. LandstraÃƒÅ¸e;57063;56775;56631;56381;56214;55756;55190;54865;54600;54718;54638;54557;54401;54354;53953;53578;53180;53129;52688
4. Wieden;20589;20582;20415;20252;20251;20155;19935;19812;19628;19631;19663;19455;19428;19341;19430;19374;19250;19078;19022
5. Margareten;31466;31364;31483;31471;31447;31169;31022;30704;30572;30568;30314;30143;29920;29658;29336;29067;28770;28406;28016
6. Mariahilf;19711;19749;19854;19799;19905;19842;19634;19355;19358;19267;19237;19481;19462;19395;19339;19313;19139;18930;18726
7. Neubau;19747;19836;19785;19702;19918;20035;19998;19834;19921;19925;19893;19883;19940;19958;20007;19891;19860;19714;19497
8. Josefstadt;16112;16406;16349;16348;16388;16301;16182;16053;15847;15852;15947;15997;15966;15749;15723;15739;15672;15507;15206
9. Alsergrund;26676;26508;26417;26337;26225;26095;26078;25817;25755;25672;25617;25584;25505;25329;25321;25248;25061;24694;24594
10. Favoriten;110784;111289;111425;112256;112396;112441;112052;111388;110717;109954;109043;108026;107684;107425;106996;105837;105384;104617;104422
11. Simmering;60275;60387;60237;60054;59680;59297;60224;60778;61284;61296;61251;61174;60935;60906;60680;61064;60777;60685;60423
12. Meidling;56752;56764;56886;56639;56135;56099;55826;55804;55623;55294;54859;54799;54378;53880;53396;53145;52999;52489;51780
13. Hietzing;41056;41229;41252;41273;41075;40922;40639;40361;40261;39964;39573;39493;39301;39192;39128;38904;38673;38440;38309
14. Penzing;61045;61049;61071;61344;61550;61612;61545;61260;60983;60916;60636;60703;60957;61130;60865;60594;60144;59977;59851
15. Rudolfsheim-FÃƒÂ¼nfhaus;38932;38799;38887;38673;38355;38197;37945;37847;37695;37698;37571;37906;37851;37640;37459;37081;36664;36105;35622
16. Ottakring;56961;57203;57296;57388;57775;57547;57205;56977;56712;56437;56438;56776;56819;56421;56202;56099;55552;54871;54220
17. Hernals;32319;32568;32854;32970;33266;33307;33129;32903;33025;32858;32811;32928;32972;33094;32851;32692;32426;32122;31804
18. WÃƒÂ¤hring;32956;33009;33139;33232;33175;33019;32899;32841;32855;32776;32618;32551;32361;32386;32370;32704;32715;32817;32636
19. DÃƒÂ¶bling;50246;50326;50344;50310;50207;50091;49822;49458;49269;49011;48959;48773;48476;48270;48000;47494;47384;47031;47390
20. Brigittenau;49571;49695;49402;49306;48751;48737;48468;48117;47598;47401;47101;46551;45918;45381;44641;44087;43505;42842;42095
21. Floridsdorf;106915;107298;107743;107528;107745;107465;107426;107084;107097;107168;107483;107698;107732;108009;108428;108249;108679;108856;108643
22. Donaustadt;113721;114725;115560;116201;116845;117643;118225;119135;120052;121421;122962;124170;124883;126495;129203;130060;130189;130820;131539
23. Liesing;71987;72028;72016;72042;72651;73319;73526;73196;73303;73706;73949;73918;73799;73428;73452;74096;74937;75528;76934
Quelle: Statistik Austria Ã¢â‚¬â€œ Statistik des BevÃƒÂ¶lkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;;;;;;;;;;
