Binnenwanderungssaldo nach Gemeindebezirken 2019;;;;;;;;;
Gemeindebezirk;Insgesamt;Binnenwanderungssaldo gegenÃƒÂ¼ber den BundeslÃƒÂ¤ndern;;;;;;;
;;Burgenland;KÃƒÂ¤rnten;NiederÃƒÂ¶sterr.;OberÃƒÂ¶sterr.;Salzburg;Steiermark;Tirol;Vorarlberg
Wien;-4639;-636;563;-7257;953;492;618;438;190
1. Innere Stadt;7;4;5;-4;-8;-1;11;5;-5
2. Leopoldstadt;77;10;72;-191;75;24;36;33;18
3. LandstraÃƒÅ¸e;79;-19;37;-245;86;53;116;40;11
4. Wieden;91;-8;24;-48;28;18;43;13;21
5. Margareten;-31;-33;29;-106;46;44;23;-14;-20
6. Mariahilf;121;11;20;5;15;13;15;29;13
7. Neubau;103;-8;8;-36;30;21;58;21;9
8. Josefstadt;-663;-42;-57;-381;-65;14;-139;2;5
9. Alsergrund;376;9;37;79;90;6;82;31;42
10. Favoriten;-402;-130;95;-763;109;83;122;80;2
11. Simmering;-886;-89;3;-888;49;13;25;13;-12
12. Meidling;-277;-33;31;-401;51;21;24;18;12
13. Hietzing;-176;-7;-13;-182;1;2;12;-12;23
14. Penzing;-338;-35;15;-455;57;18;5;46;11
15. Rudolfsheim-FÃƒÂ¼nfhaus;6;-74;45;-156;90;33;23;40;5
16. Ottakring;-150;25;42;-361;48;15;60;10;11
17. Hernals;-113;-3;34;-181;30;5;3;-6;5
18. WÃƒÂ¤hring;38;12;12;-98;25;37;-7;32;25
19. DÃƒÂ¶bling;46;30;33;-121;42;11;39;9;3
20. Brigittenau;-136;-6;51;-321;76;14;38;Ã¢â‚¬â€œ;12
21. Floridsdorf;-1001;-89;7;-988;30;38;3;14;-16
22. Donaustadt;-1001;-98;10;-974;35;7;9;5;5
23. Liesing;-409;-63;23;-441;13;3;17;29;10
Quelle: Statistik Austria Ã¢â‚¬â€œ Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
