BevÃƒÂ¶lkerung nach auslÃƒÂ¤ndischer Herkunft der EU, Geschlecht und Gemeindebezirken 2020;;;;;;;;;
Gemeindebezirk;BevÃƒÂ¶lkerung zum Stichtag 1.1.;;;;;;;;
;insgesamt;auslÃƒÂ¤ndische Herkunft;;;;;;;
;;insgesamt;;EU;;;nicht EU;;
;;;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;absolut;%;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen
Wien;1911191;790060;41,3386207867241;316243;150093;166150;473817;239019;234798
1. Innere Stadt;16047;5950;37,0785816663551;2934;1343;1591;3016;1384;1632
2. Leopoldstadt;105848;48231;45,5662837276094;19533;9447;10086;28698;14533;14165
3. LandstraÃƒÅ¸e;91680;38992;42,5305410122164;18254;8683;9571;20738;10252;10486
4. Wieden;33212;14190;42,7255208960617;7074;3321;3753;7116;3415;3701
5. Margareten;55123;27107;49,1754802895343;11474;5551;5923;15633;7893;7740
6. Mariahilf;31651;12925;40,8359925436795;6550;3092;3458;6375;3178;3197
7. Neubau;31961;12464;38,9975282375395;6614;3113;3501;5850;2898;2952
8. Josefstadt;25021;9815;39,227049278606;5095;2499;2596;4720;2592;2128
9. Alsergrund;41884;17290;41,2806799732595;9173;4223;4950;8117;3908;4209
10. Favoriten;207193;102771;49,6015792039306;33118;16258;16860;69653;36163;33490
11. Simmering;104434;44011;42,1424057299347;15392;7325;8067;28619;14412;14207
12. Meidling;97078;45298;46,6614474958281;16568;8034;8534;28730;14609;14121
13. Hietzing;54040;15731;29,1099185788305;8371;3661;4710;7360;3484;3876
14. Penzing;93634;33783;36,0798427921482;14628;6883;7745;19155;9716;9439
15. Rudolfsheim-FÃƒÂ¼nfhaus;76813;41191;53,6250374285603;15840;8036;7804;25351;13256;12095
16. Ottakring;103117;48897;47,4189512883424;18145;9032;9113;30752;16000;14752
17. Hernals;57027;25223;44,2299261753205;10815;5374;5441;14408;7381;7027
18. WÃƒÂ¤hring;51497;18861;36,6254344913296;9364;4322;5042;9497;4603;4894
19. DÃƒÂ¶bling;73901;26511;35,8736688272148;11905;5253;6652;14606;7029;7577
20. Brigittenau;86368;44273;51,260883660615;14371;6952;7419;29902;15338;14564
21. Floridsdorf;167968;59325;35,3192274718994;21927;9990;11937;37398;18677;18721
22. Donaustadt;195230;63691;32,623572196896;24449;10955;13494;39242;19004;20238
23. Liesing;110464;33530;30,3537804171495;14649;6746;7903;18881;9294;9587
Quelle: Statistik Austria Ã¢â‚¬â€œ Statistik des BevÃƒÂ¶lkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
