Binnenwanderung nach Geschlecht und Gemeindebezirken 2019;;;;;;;;;
Gemeindebezirk;WanderungsstrÃƒÂ¶me gegenÃƒÂ¼ber den BundeslÃƒÂ¤ndern;;;;;;;;
;ZuzÃƒÂ¼ge;;;WegzÃƒÂ¼ge;;;Saldo;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen
Wien;32876;17256;15620;37515;19762;17753;-4639;-2506;-2133
1. Innere Stadt;273;134;139;266;133;133;7;1;6
2. Leopoldstadt;2038;1106;932;1961;966;995;77;140;-63
3. LandstraÃƒÅ¸e;1872;932;940;1793;923;870;79;9;70
4. Wieden;650;353;297;559;303;256;91;50;41
5. Margareten;1163;594;569;1194;641;553;-31;-47;16
6. Mariahilf;793;389;404;672;331;341;121;58;63
7. Neubau;720;357;363;617;282;335;103;75;28
8. Josefstadt;877;589;288;1540;1254;286;-663;-665;2
9. Alsergrund;1414;681;733;1038;494;544;376;187;189
10. Favoriten;3447;1937;1510;3849;2041;1808;-402;-104;-298
11. Simmering;1298;729;569;2184;1183;1001;-886;-454;-432
12. Meidling;1717;886;831;1994;1004;990;-277;-118;-159
13. Hietzing;750;375;375;926;445;481;-176;-70;-106
14. Penzing;1472;795;677;1810;951;859;-338;-156;-182
15. Rudolfsheim-FÃƒÂ¼nfhaus;1730;902;828;1724;940;784;6;-38;44
16. Ottakring;1870;1001;869;2020;1087;933;-150;-86;-64
17. Hernals;957;507;450;1070;565;505;-113;-58;-55
18. WÃƒÂ¤hring;1071;531;540;1033;524;509;38;7;31
19. DÃƒÂ¶bling;1337;665;672;1291;636;655;46;29;17
20. Brigittenau;1572;828;744;1708;870;838;-136;-42;-94
21. Floridsdorf;2104;1074;1030;3105;1550;1555;-1001;-476;-525
22. Donaustadt;2149;1072;1077;3150;1590;1560;-1001;-518;-483
23. Liesing;1602;819;783;2011;1049;962;-409;-230;-179
Quelle: Statistik Austria Ã¢â‚¬â€œ Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
