BinnenwanderungsstrÃƒÂ¶me zwischen Wien und den BundeslÃƒÂ¤ndern seit 2012;;;;;;;;;
Jahr;Ãƒâ€“sterreich;BundeslÃƒÂ¤nder;;;;;;;
;;Burgenland;KÃƒÂ¤rnten;NiederÃƒÂ¶sterr.;OberÃƒÂ¶sterr.;Salzburg;Steiermark;Tirol;Vorarlberg
ZuzÃƒÂ¼ge nach Wien;;;;;;;;;
2012;33780;2337;2136;16306;5149;1763;3728;1369;992
2013;32320;2273;2217;15370;4736;1719;3635;1400;970
2014;33764;2402;2310;16517;4677;1667;3881;1377;933
2015;37175;2301;2701;18210;4618;2023;4594;1574;1154
2016;38765;2626;2681;18863;4931;2049;4868;1582;1165
2017;37032;2465;2302;18915;4308;2073;4247;1584;1138
2018;32011;2179;1876;16533;3814;1593;3383;1534;1099
2019;32876;2118;1876;16774;4138;1829;3404;1574;1163
WegzÃƒÂ¼ge aus Wien;;;;;;;;;
2012;30587;2471;1210;19496;2675;1060;2275;820;580
2013;31951;2452;1289;20284;2855;1089;2438;966;578
2014;32741;2343;1351;20846;3042;1096;2333;954;776
2015;35932;2609;1430;22464;3230;1324;2680;1107;1088
2016;37627;2675;1572;23595;3538;1280;2923;1131;913
2017;37437;2919;1460;23377;3291;1378;3063;1109;840
2018;37924;2802;1427;24247;3223;1317;3009;1007;892
2019;37515;2754;1313;24031;3185;1337;2786;1136;973
Saldo;;;;;;;;;
2012;3193;-134;926;-3190;2474;703;1453;549;412
2013;369;-179;928;-4914;1881;630;1197;434;392
2014;1023;59;959;-4329;1635;571;1548;423;157
2015;1243;-308;1271;-4254;1388;699;1914;467;66
2016;1138;-49;1109;-4732;1393;769;1945;451;252
2017;-405;-454;842;-4462;1017;695;1184;475;298
2018;-5913;-623;449;-7714;591;276;374;527;207
2019;-4639;-636;563;-7257;953;492;618;438;190
Quelle: Statistik Austria Ã¢â‚¬â€œ Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
