BevÃƒÂ¶lkerungsentwicklung in den Wiener Gemeindebezirken 2019 bis 2038;;;;;;;;;;
Gemeindebezirk;BevÃƒÂ¶lkerungsprognose;;;;;;;;;
;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028
13. Hietzing;57692,226486778;57950,8367867861;58205,2121638011;58455,7404623927;58701,9368820046;58944,7587594741;59184,5566659672;59421,5504349367;59655,6028635139;59886,9630109871
14. Penzing;101330,646627475;102145,593592157;102914,45231488;103643,270956595;104337,605399362;105002,10430394;105640,84191175;106256,328694539;106851,921904141;107429,438634408
15. Rudolfsheim-FÃƒÂ¼nfhaus;84414,5196426823;84781,9924306649;85139,6940029868;85487,3751200357;85824,9755751256;86152,8783388526;86471,9797569253;86783,1636011908;87087,4028206865;87384,7388814261
16. Ottakring;111423,25929614;111877,48133946;112331,058601369;112781,682029017;113227,433920071;113667,465663574;114101,751744741;114530,623449398;114954,388417147;115372,312387774
17. Hernals;60780,5446142746;60989,9510974184;61202,485364346;61416,0619591812;61629,3697705556;61841,2212640644;62051,4336148137;62260,1415996563;62467,4830055435;62672,6867902393
18. WÃƒÂ¤hring;54449,2675420113;54643,381907668;54829,7200918973;55008,6550923593;55180,5523704722;55345,9154321212;55505,47881936;55659,9578183413;55810,1000758845;55956,0438998311
19. DÃƒÂ¶bling;77159,150854151;77510,2064479673;77848,4374066262;78175,6495560399;78492,487358044;78800,9953446547;79102,5496525341;79397,9441172072;79687,8517121132;79973,0180405445
20. Brigittenau;96357,3392874976;97230,6749908025;98053,7272140066;98832,3770894936;99572,7506446187;100278,896464136;100955,28140025;101604,883704594;102231,791082112;102837,753714625
21. Floridsdorf;176042,341663751;177108,705943303;178138,783239503;179137,388925096;180106,78452497;181051,978323385;181976,149415206;182880,995912457;183768,14273824;184638,981318721
22. Donaustadt;205677,714730455;207576,225077524;209359,210934577;211040,771083217;212634,630279928;214150,739685561;215598,61632667;216984,299536175;218315,945925193;219597,697175685
23. Liesing;111263,931932505;111870,982452609;112458,591383291;113029,475846408;113584,307149474;114125,971384777;114656,14066284;115175,689582989;115685,438716575;116186,005037724
Quelle: Stadt Wien Wirtschaft, Arbeit und Statistik Ã¢â‚¬â€œ BevÃƒÂ¶lkerungsprognose 2018.;;;;;;;;;;
