BevÃƒÂ¶lkerung nach Gemeindebezirken seit 2002 Ã¢â‚¬â€œ Geburtsland Ãƒâ€“sterreich;;;;;;;;;;;;;;;;;;;
Gemeindebezirk;BevÃƒÂ¶lkerungsstand zum Stichtag 1.1.;;;;;;;;;;;;;;;;;;
;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Wien;1184173;1186293;1185583;1184415;1184414;1184115;1183060;1181491;1183289;1186794;1189740;1194485;1198565;1201673;1205293;1207833;1209160;1208607;1209529
1. Innere Stadt;12585;12510;12365;12203;12095;11932;11791;11538;11420;11296;11151;11061;11024;10965;10865;10821;10783;10697;10434
2. Leopoldstadt;60122;60081;59887;59402;59115;58961;58683;58480;58931;59580;60078;60868;62008;62457;62464;62727;62615;62248;62605
3. LandstraÃƒÅ¸e;59219;58827;58605;58281;58038;57624;57034;56758;56582;56896;56954;57021;57038;57159;56804;56585;56360;56496;56120
4. Wieden;21190;21172;20982;20822;20814;20756;20564;20457;20319;20350;20382;20224;20302;20199;20367;20341;20264;20111;20110
5. Margareten;33478;33271;33171;33041;32988;32677;32591;32283;32299;32403;32223;32168;32066;31822;31600;31407;31211;30907;30640
6. Mariahilf;20345;20370;20456;20350;20441;20396;20167;19899;19979;19940;19902;20203;20251;20263;20236;20214;20079;19822;19620
7. Neubau;20615;20610;20517;20364;20569;20689;20665;20474;20548;20541;20541;20555;20613;20651;20726;20637;20634;20547;20344
8. Josefstadt;16522;16828;16728;16710;16767;16700;16596;16483;16297;16327;16421;16484;16535;16279;16247;16308;16265;16107;15779
9. Alsergrund;27665;27448;27304;27214;27094;26956;26941;26679;26628;26596;26556;26578;26706;26475;26474;26500;26363;26018;25896
10. Favoriten;115107;115648;115725;116557;116804;117057;116995;116818;116607;116535;116288;116001;116370;116930;117155;116822;117052;117103;117541
11. Simmering;62033;62234;61960;61720;61331;61049;62207;63005;63676;63982;64245;64404;64446;64653;64820;65709;65867;66210;66413
12. Meidling;58922;58928;59094;58824;58396;58412;58221;58422;58401;58299;58118;58293;58256;58075;57877;57955;58132;57767;57188
13. Hietzing;41530;41770;41790;41821;41641;41515;41253;41008;40975;40700;40354;40320;40213;40201;40214;40089;39983;39793;39785
14. Penzing;62838;62824;62754;62957;63121;63225;63250;63012;62836;62867;62795;63093;63534;63933;63919;63816;63562;63533;63572
15. Rudolfsheim-FÃƒÂ¼nfhaus;42370;42048;41791;41403;41057;40932;40758;40711;40669;40874;40876;41384;41536;41493;41482;41312;41050;40476;40038
16. Ottakring;60781;60851;60602;60530;60867;60555;60222;60178;60104;60063;60350;60890;61199;61002;61019;61170;60842;60348;59786
17. Hernals;34189;34328;34488;34554;34864;34982;34789;34585;34825;34708;34766;35006;35226;35468;35299;35247;35073;34788;34503
18. WÃƒÂ¤hring;34180;34171;34193;34262;34188;34079;33981;33937;33994;33940;33845;33876;33758;33828;33897;34339;34399;34506;34347
19. DÃƒÂ¶bling;51136;51244;51254;51251;51116;51046;50826;50498;50412;50235;50282;50226;50119;50013;49923;49543;49557;49387;49893
20. Brigittenau;52668;52768;52228;52008;51386;51444;51205;51068;50799;50835;50778;50407;50063;49840;49150;48755;48283;47696;47192
21. Floridsdorf;108624;109125;109548;109370;109663;109416;109578;109483;109846;110333;111000;111718;112346;113047;114030;114403;115717;116628;117015
22. Donaustadt;115180;116235;117090;117718;118401;119325;120044;121195;122366;124114;126029;127682;128898;130962;134474;135883;136580;137893;139201
23. Liesing;72874;73002;73051;73053;73658;74387;74699;74520;74776;75380;75806;76023;76058;75958;76251;77250;78489;79526;81507
Quelle: Statistik Austria Ã¢â‚¬â€œ Statistik des BevÃƒÂ¶lkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;;;;;;;;;;
