BinnenwegzÃƒÂ¼ge in die BundeslÃƒÂ¤nder nach Gemeindebezirken seit 2012;;;;;;;;
Gemeindebezirk;Berichtsjahr;;;;;;;
;2012;2013;2014;2015;2016;2017;2018;2019
Wien;30587;31951;32741;35932;37627;37437;37924;37515
1. Innere Stadt;251;232;225;229;246;229;242;266
2. Leopoldstadt;1627;1481;1674;1789;1928;1988;1912;1961
3. LandstraÃƒÅ¸e;1520;1538;1570;2336;1853;1810;1780;1793
4. Wieden;571;570;525;553;645;652;631;559
5. Margareten;1159;1136;1116;1236;1219;1229;1292;1194
6. Mariahilf;574;657;644;658;730;662;696;672
7. Neubau;578;624;656;602;664;642;595;617
8. Josefstadt;1282;1382;1619;1572;1560;1684;1619;1540
9. Alsergrund;1004;1112;1151;2098;1667;1108;1025;1038
10. Favoriten;2981;3258;3270;3311;3683;3910;3954;3849
11. Simmering;1639;1600;1683;1924;1937;1951;2051;2184
12. Meidling;1540;1613;1711;1710;1961;1925;1981;1994
13. Hietzing;844;881;895;947;985;928;974;926
14. Penzing;1505;1673;1523;1804;1779;1843;1836;1810
15. Rudolfsheim-FÃƒÂ¼nfhaus;1275;1534;1550;1634;1751;1756;1868;1724
16. Ottakring;1595;1731;1685;1911;1967;2025;2150;2020
17. Hernals;884;1064;973;1057;1138;1245;1170;1070
18. WÃƒÂ¤hring;958;949;859;916;1084;970;1016;1033
19. DÃƒÂ¶bling;1121;1190;1130;1139;1371;1246;1314;1291
20. Brigittenau;1463;1464;1435;1605;1667;1689;1659;1708
21. Floridsdorf;2355;2234;2437;2509;2876;2828;3042;3105
22. Donaustadt;2060;2340;2494;2540;2833;2999;3040;3150
23. Liesing;1801;1688;1916;1852;2083;2118;2077;2011
Quelle: Statistik Austria Ã¢â‚¬â€œ Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;
